itemCollection_fp_eae_ea_lightparts,type,qty,weight
mechdef_adderx_ADR-X,MechPart,1,1
mechdef_arcticcheetahx_ACH-X,MechPart,1,1
mechdef_cougarx_CGR-X,MechPart,1,1
mechdef_firemothx_FM-X,MechPart,1,1
mechdef_incubusx_INC-X,MechPart,1,1
mechdef_kitfoxx_KFX-X1,MechPart,1,1
mechdef_kitfoxx_KFX-X2,MechPart,1,1
mechdef_mistlynxx_MLX-X,MechPart,1,1
mechdef_piranhax_PIR-X,MechPart,1,1
mechdef_cephalusx_CEP-X,MechPart,1,1
mechdef_commandox_COM-X,MechPart,1,1
mechdef_hollanderx_BZK-FX,MechPart,1,1
mechdef_mongoosex_MON-X,MechPart,1,1
mechdef_stingerx_STG-X,MechPart,1,1
mechdef_urbanmechx_UM-X,MechPart,1,1
mechdef_valiantx_V4-LNT-X,MechPart,1,1
mechdef_valkyriex_VLK-X,MechPart,1,1
mechdef_wolfhoundx_WLF-X1,MechPart,1,1
mechdef_wolfhoundx_WLF-X2,MechPart,1,1
mechdef_malakx_C-MK-X,MechPart,1,1
mechdef_blackfalconx_BF-LAM-X,MechPart,1,1
mechdef_firebirdx_FB-LAM-X,MechPart,1,1
mechdef_saberx_SBR-LAM-X,MechPart,1,1
mechdef_stingerx_STG-LAM-X,MechPart,1,1
mechdef_waspx_WSP-LAM-X,MechPart,1,1
mechdef_anubis_ABS-X,MechPart,1,1
mechdef_anubis_ABS-X2,MechPart,1,1
mechdef_commando_COM-X2,MechPart,1,1
mechdef_cossack_C-SK1-X,MechPart,1,1
mechdef_cyclone_CYC-X,MechPart,1,1
mechdef_cyclone_CYC-X2,MechPart,1,1
mechdef_falcon_FLC-X,MechPart,1,1
mechdef_falcon_FLC-X2,MechPart,1,1
mechdef_firebee_FRB-X,MechPart,1,1
mechdef_firefly_FFL-X,MechPart,1,1
mechdef_firefly_FFL-X2,MechPart,1,1
mechdef_firestarter_FS9-X,MechPart,1,1
mechdef_firestarter_FS9-X2,MechPart,1,1
mechdef_flea_FLE-X,MechPart,1,1
mechdef_flea_FLE-X2,MechPart,1,1
mechdef_hornet_HNT-X,MechPart,1,1
mechdef_hussar_HSR-X,MechPart,1,1
mechdef_jackrabbitii_JKR-X2,MechPart,1,1
mechdef_jackrabbit_JKR-X,MechPart,1,1
mechdef_javelin_JVN-X,MechPart,1,1
mechdef_javelin_JVN-X2,MechPart,1,1
mechdef_jenneriic_JR7-IIC-X1,MechPart,1,1
mechdef_jenneriic_JR7-IIC-X2,MechPart,1,1
mechdef_jennerrattlesnake_JR7-X2,MechPart,1,1
mechdef_jenner_JR7-X,MechPart,1,1
mechdef_locust_LCT-X,MechPart,1,1
mechdef_locust_LCT-X2,MechPart,1,1
mechdef_mercury_MCY-99W-X1,MechPart,1,1
mechdef_mercury_MCY-X1,MechPart,1,1
mechdef_mongoose_MON-X2,MechPart,1,1
mechdef_nighthawk_NTK-X,MechPart,1,1
mechdef_osiris_OSR-X,MechPart,1,1
mechdef_osiris_OSR-X2,MechPart,1,1
mechdef_owens_OW-X,MechPart,1,1
mechdef_owens_OW-X2,MechPart,1,1
mechdef_panther_PNT-X,MechPart,1,1
mechdef_panther_PNT-X2,MechPart,1,1
mechdef_raptor_RTX1-O-X1,MechPart,1,1
mechdef_raptor_RTX1-OC-X2,MechPart,1,1
mechdef_raven_RVN-X,MechPart,1,1
mechdef_raven_RVN-X2,MechPart,1,1
mechdef_sling_SL-X1,MechPart,1,1
mechdef_sling_SL-X2,MechPart,1,1
mechdef_spider_SDR-X,MechPart,1,1
mechdef_spider_SDR-X2,MechPart,1,1
mechdef_stinger_STG-X2,MechPart,1,1
mechdef_talon_TLN-X,MechPart,1,1
mechdef_talon_TLN-X2,MechPart,1,1
mechdef_tiburon_TBN-2-X,MechPart,1,1
mechdef_toro_TR-A-X,MechPart,1,1
mechdef_toro_TR-B-X2,MechPart,1,1
mechdef_urbanmechk-9_UM-X2,MechPart,1,1
mechdef_urbanmech_UM-X3,MechPart,1,1
mechdef_valkyrie_VLK-X2,MechPart,1,1
mechdef_wasp_WSP-X,MechPart,1,1
mechdef_wasp_WSP-X2,MechPart,1,1
mechdef_wight_WGT-X,MechPart,1,1
mechdef_wight_WGT-X2,MechPart,1,1
mechdef_wolfhound_WLF-X3,MechPart,1,1
mechdef_adder_ADR-X2,MechPart,1,1
mechdef_adder_ADR-X3,MechPart,1,1
mechdef_arcticcheetah_ACH-X2,MechPart,1,1
mechdef_cougar_CGR-X2,MechPart,1,1
mechdef_cougar_CGR-X3,MechPart,1,1
mechdef_cougar_CGR-XR-X1,MechPart,1,1
mechdef_firemoth_FM-X2,MechPart,1,1
mechdef_howler_HWL-X1,MechPart,1,1
mechdef_howler_HWL-X2,MechPart,1,1
mechdef_incubus_INC-X2,MechPart,1,1
mechdef_incubus_INC-X3,MechPart,1,1
mechdef_locust_LCT-IIC-2-X2,MechPart,1,1
mechdef_locust_LCT-IIC-X,MechPart,1,1
mechdef_mistlynx_MLX-X2,MechPart,1,1
mechdef_piranha_PIR-X2,MechPart,1,1
mechdef_piranha_PIR-X3,MechPart,1,1
mechdef_solitaire_SLT-1-X,MechPart,1,1
mechdef_tiburon_TBN-1-X,MechPart,1,1
