itemCollection_fp_eae_ea_medheavyparts,type,qty,weight
mechdef_blacklannerx_BKL-X,MechPart,1,1
mechdef_ebonjaguarx_EBJ-X,MechPart,1,1
mechdef_hellbringerx_HBR-X,MechPart,1,1
mechdef_hellbringerx_HBR-X2,MechPart,1,1
mechdef_hellfirex_HLF-X1,MechPart,1,1
mechdef_hellfirex_HLF-X2,MechPart,1,1
mechdef_hellhoundx_HEH-X,MechPart,1,1
mechdef_huntsmanx_HMN-X,MechPart,1,1
mechdef_madcatx_MC-X,MechPart,1,1
mechdef_madcatx_MC-X2,MechPart,1,1
mechdef_maddogx_MDD-X,MechPart,1,1
mechdef_maddogx_MDD-X2,MechPart,1,1
mechdef_medusax_MED-X1,MechPart,1,1
mechdef_medusax_MED-X2,MechPart,1,1
mechdef_nightgyrx_NTG-X,MechPart,1,1
mechdef_novax_NVA-X1,MechPart,1,1
mechdef_novax_NVA-X2,MechPart,1,1
mechdef_orionx_ON1-CX,MechPart,1,1
mechdef_riflemaniicx_RFL-CX,MechPart,1,1
mechdef_septicemiax_PRI-X,MechPart,1,1
mechdef_shadowcatx_SHC-X,MechPart,1,1
mechdef_stormcrowx_SCR-X1,MechPart,1,1
mechdef_stormcrowx_SCR-X2,MechPart,1,1
mechdef_summonerx_SMN-X1,MechPart,1,1
mechdef_summonerx_SMN-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X1,MechPart,1,1
mechdef_sunspiderx_SNS-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X3,MechPart,1,1
mechdef_vaporeaglex_VGL-X,MechPart,1,1
mechdef_viperx_VPR-X1,MechPart,1,1
mechdef_viperx_VPR-X2,MechPart,1,1
mechdef_archerx_ARC-RX,MechPart,1,1
mechdef_archerx_ARC-SX,MechPart,1,1
mechdef_argusx_AGS-X,MechPart,1,1
mechdef_axmanx_AXM-X,MechPart,1,1
mechdef_blackknightx_BL-KNT-X,MechPart,1,1
mechdef_bushwackerx_BSW-XX,MechPart,1,1
mechdef_cicadax_CDA-X,MechPart,1,1
mechdef_crabx_CRB-X1,MechPart,1,1
mechdef_crabx_CRB-X2,MechPart,1,1
mechdef_crusaderx_CRD-X,MechPart,1,1
mechdef_crusaderx_CRD-X2,MechPart,1,1
mechdef_dervishx_DV-X,MechPart,1,1
mechdef_griffinx_GRF-X,MechPart,1,1
mechdef_griffinx_GRF-X2,MechPart,1,1
mechdef_hatchetmanx_HCT-X,MechPart,1,1
mechdef_hellspawnx_HSN-X,MechPart,1,1
mechdef_hunchbackx_HBK-X1,MechPart,1,1
mechdef_hunchbackx_HBK-X2,MechPart,1,1
mechdef_hunchbackx_HBK-X3,MechPart,1,1
mechdef_huronwx_HUR-WO-X,MechPart,1,1
mechdef_laohux_LHU-X,MechPart,1,1
mechdef_marauderx_MAD-X1,MechPart,1,1
mechdef_marauderx_MAD-X2,MechPart,1,1
mechdef_marauderx_MAD-X3,MechPart,1,1
mechdef_ostwarx_OWR-X,MechPart,1,1
mechdef_phoenixhawkx_PXH-X,MechPart,1,1
mechdef_riflemanx_RFL-X,MechPart,1,1
mechdef_shadowhawkx_SHD-X1,MechPart,1,1
