itemCollection_fp_eae_eas_asltsupermechs,type,qty,weight
mechdef_banes_BAN-S,Mech,1,1
mechdef_bloodasps_BAS-S,Mech,1,1
mechdef_direwolfs_DWF-S1,Mech,1,1
mechdef_direwolfs_DWF-S2,Mech,1,1
mechdef_executioners_EXE-S,Mech,1,1
mechdef_gargoyles_GAR-S,Mech,1,1
mechdef_highlanders_HGN-CS,Mech,1,1
mechdef_kodiaks_KDK-S,Mech,1,1
mechdef_madcatmkiis_MCII-S,Mech,1,1
mechdef_marauderiics_MAD-IIC-S,Mech,1,1
mechdef_osteons_OS-S1,Mech,1,1
mechdef_osteons_OS-S2,Mech,1,1
mechdef_stonerhinos_STR-S,Mech,1,1
mechdef_supernovas_SNV-S1,Mech,1,1
mechdef_supernovas_SNV-S2,Mech,1,1
mechdef_turkinas_TKN-S,Mech,1,1
mechdef_warhammers_WHM-IIC-S,Mech,1,1
mechdef_warhawks_WHK-S,Mech,1,1
mechdef_annihilators_ANH-ES,Mech,1,1
mechdef_atlass_AS7-S,Mech,1,1
mechdef_banshees_BNC-S,Mech,1,1
mechdef_banshees_BNC-S2,Mech,1,1
mechdef_corsairs_COR-S,Mech,1,1
mechdef_fafnirs_FNR-S,Mech,1,1
mechdef_hatamotochis_HTM-S,Mech,1,1
mechdef_kingcrabs_KGC-S,Mech,1,1
mechdef_longbows_LGB-S1,Mech,1,1
mechdef_longbows_LGB-S2,Mech,1,1
mechdef_longbows_LGB-S3,Mech,1,1
mechdef_longbows_LGB-S4,Mech,1,1
mechdef_marauderIIs_MAD-AS,Mech,1,1
mechdef_marauderIIs_MAD-BS,Mech,1,1
mechdef_maulers_MAL-S,Mech,1,1
mechdef_zeuss_ZEU-XS,Mech,1,1
mechdef_zeuss_ZEU-YS,Mech,1,1
mechdef_archangels_C-ANG-S,Mech,1,1
mechdef_archangels_C-ANG-S2,Mech,1,1
mechdef_archangels_C-ANG-S3,Mech,1,1
mechdef_seraphs_C-SRP-S1,Mech,1,1
mechdef_seraphs_C-SRP-S2,Mech,1,1
mechdef_seraphs_C-SRP-S3,Mech,1,1
mechdef_gigants_SH-GG-S,Mech,1,1
mechdef_longbowIIs_SH-LGB-S,Mech,1,1
mechdef_matarIIs_SAM-RS-MTS,Mech,1,1
mechdef_monster_HWR-SH-SS,Mech,1,1
mechdef_omegas_SHP-XS,Mech,1,1
mechdef_ramparts_RPT-S,Mech,1,1
mechdef_svarogs_SH-SVG-S,Mech,1,1
mechdef_terminuss_TMS-S,Mech,1,1
mechdef_albatross_ALB-S1,Mech,1,1
mechdef_albatross_ALB-S2,Mech,1,1
mechdef_annihilator_ANH-S1,Mech,1,1
mechdef_annihilator_ANH-S2,Mech,1,1
mechdef_annihilator_ANH-S3,Mech,1,1
mechdef_atlas_AS7-D3S,Mech,1,1
mechdef_awesome_AWS-S,Mech,1,1
mechdef_awesome_AWS-S2,Mech,1,1
mechdef_battlehammer_BHA-S1,Mech,1,1
mechdef_battlehammer_BHA-S2,Mech,1,1
mechdef_battlemaster_BLR-S1,Mech,1,1
mechdef_battlemaster_BLR-S2,Mech,1,1
mechdef_berserker_BRZ-S,Mech,1,1
mechdef_berserker_BRZ-S2,Mech,1,1
mechdef_bigfoot_BFT-S1,Mech,1,1
mechdef_bigfoot_BFT-S2,Mech,1,1
mechdef_broadside_BS-S1,Mech,1,1
mechdef_broadside_BS-S2,Mech,1,1
mechdef_bullshark_BSK-S1,Mech,1,1
mechdef_bullshark_BSK-M3X2,Mech,1,1
mechdef_charger_CGR-S,Mech,1,1
mechdef_corsair_COR-S2,Mech,1,1
mechdef_crockett_CRK-S1,Mech,1,1
mechdef_crockett_CRK-S2,Mech,1,1
mechdef_cyclopsii_CPII-S1,Mech,1,1
mechdef_cyclopsii_CPII-S2,Mech,1,1
mechdef_cyclopsii_CPII-S3,Mech,1,1
mechdef_cyclopsii_CPII-S4,Mech,1,1
mechdef_cyclops_CP-10-Z-DC-S,Mech,1,1
mechdef_cyclops_CP-10-Z-S,Mech,1,1
mechdef_dilletante_DLT-S1,Mech,1,1
mechdef_dilletante_DLT-S2,Mech,1,1
mechdef_diomede_D-M3D-S,Mech,1,1
mechdef_doloire_DLR-S,Mech,1,1
mechdef_doloire_DLR-S2,Mech,1,1
mechdef_emperor_EMP-S,Mech,1,1
mechdef_emperor_EMP-S2,Mech,1,1
mechdef_fafnir_FNR-S2,Mech,1,1
