itemCollection_fp_eae_eas_heavymechs,type,qty,weight
mechdef_ebonjaguars_EBJ-S,Mech,1,1
mechdef_hellbringers_HBR-S,Mech,1,1
mechdef_hellbringers_HBR-S2,Mech,1,1
mechdef_hellfires_HLF-S1,Mech,1,1
mechdef_hellfires_HLF-S2,Mech,1,1
mechdef_madcats_MC-S,Mech,1,1
mechdef_madcats_MC-S2,Mech,1,1
mechdef_maddogs_MDD-S,Mech,1,1
mechdef_maddogs_MDD-S2,Mech,1,1
mechdef_nightgyrs_NTG-S,Mech,1,1
mechdef_orions_ON1-CS,Mech,1,1
mechdef_riflemaniics_RFL-CS,Mech,1,1
mechdef_summoners_SMN-S1,Mech,1,1
mechdef_summoners_SMN-S2,Mech,1,1
mechdef_sunspiders_SNS-S1,Mech,1,1
mechdef_sunspiders_SNS-S2,Mech,1,1
mechdef_sunspiders_SNS-S3,Mech,1,1
mechdef_archers_ARC-RS,Mech,1,1
mechdef_archers_ARC-SS,Mech,1,1
mechdef_arguss_AGS-S,Mech,1,1
mechdef_axmans_AXM-S,Mech,1,1
mechdef_blackknights_BL-KNT-S,Mech,1,1
mechdef_crusaders_CRD-S,Mech,1,1
mechdef_crusaders_CRD-S2,Mech,1,1
mechdef_jagermechs_JM6-SS,Mech,1,1
mechdef_laohus_LHU-S,Mech,1,1
mechdef_marauders_MAD-S1,Mech,1,1
mechdef_marauders_MAD-S2,Mech,1,1
mechdef_marauders_MAD-S3,Mech,1,1
mechdef_ostwars_OWR-S,Mech,1,1
mechdef_riflemans_RFL-S,Mech,1,1
mechdef_thanatoss_TNS-S,Mech,1,1
mechdef_thunderbolts_TDR-S,Mech,1,1
mechdef_warhammers_WHM-S,Mech,1,1
mechdef_devas_C-DVA-S1,Mech,1,1
mechdef_devas_C-DVA-S2,Mech,1,1
mechdef_devas_C-DVA-S3,Mech,1,1
mechdef_grigoris_C-GRG-S1,Mech,1,1
mechdef_grigoris_C-GRG-S2,Mech,1,1
mechdef_anvil_ANV-S,Mech,1,1
mechdef_anvil_ANV-S2,Mech,1,1
mechdef_argus_AGS-S2,Mech,1,1
mechdef_avatar_AV1-S,Mech,1,1
mechdef_avatar_AV1-S2,Mech,1,1
mechdef_avatar_AV1-S3,Mech,1,1
mechdef_axman_AXM-S2,Mech,1,1
mechdef_balar_BA1-S1,Mech,1,1
mechdef_balar_BA1-S2,Mech,1,1
mechdef_battleaxe_BKX-S,Mech,1,1
mechdef_battleaxe_BKX-S2,Mech,1,1
mechdef_bellerophon_BEL-S,Mech,1,1
mechdef_blackheart_BH-S1,Mech,1,1
mechdef_blackknight_BL-10-KNT-S2,Mech,1,1
mechdef_bombardier_BMB-S,Mech,1,1
mechdef_caesar_CES-S,Mech,1,1
mechdef_caesar_CES-S2,Mech,1,1
mechdef_carronade_CRN-S,Mech,1,1
mechdef_cataphract_CTF-S,Mech,1,1
mechdef_cataphract_CTF-S2,Mech,1,1
mechdef_catapult_CPLT-S1,Mech,1,1
mechdef_catapult_CPLT-S2,Mech,1,1
mechdef_champion_CHP-S,Mech,1,1
mechdef_champion_CHP-S2,Mech,1,1
mechdef_champion_CHP-S3,Mech,1,1
mechdef_coehorn_COE-S1,Mech,1,1
mechdef_coehorn_COE-S2,Mech,1,1
mechdef_daikyu_DAI-S1,Mech,1,1
mechdef_daikyu_DAI-S2,Mech,1,1
mechdef_dragonfire_DGR-S1,Mech,1,1
mechdef_dragonfire_DGR-S2,Mech,1,1
mechdef_dragonfire_DGR-S3,Mech,1,1
mechdef_dragon_DRG-S,Mech,1,1
mechdef_excalibur_EXC-S,Mech,1,1
mechdef_excalibur_EXC-S2,Mech,1,1
mechdef_excalibur_EXC-S3,Mech,1,1
mechdef_exterminator_EXT-4D-S,Mech,1,1
mechdef_exterminator_EXT-S,Mech,1,1
mechdef_granddragon_DRG-S,Mech,1,1
mechdef_grasshopper_GHR-S,Mech,1,1
mechdef_grasshopper_GHR-S2,Mech,1,1
mechdef_guillotine_GLT-S,Mech,1,1
mechdef_guillotine_GLT-S2,Mech,1,1
mechdef_hammerhands_HMH-S1,Mech,1,1
mechdef_hammerhands_HMH-S2,Mech,1,1
mechdef_hector_HOR-S,Mech,1,1
mechdef_hector_HOR-S2,Mech,1,1
mechdef_helios_HEL-S,Mech,1,1
