itemCollection_fp_eae_eas_lightmechs,type,qty,weight
mechdef_adders_ADR-S,Mech,1,1
mechdef_arcticcheetahs_ACH-S,Mech,1,1
mechdef_cougars_CGR-S,Mech,1,1
mechdef_firemoths_FM-S,Mech,1,1
mechdef_incubuss_INC-S,Mech,1,1
mechdef_kitfoxs_KFX-S1,Mech,1,1
mechdef_kitfoxs_KFX-S2,Mech,1,1
mechdef_mistlynxs_MLX-S,Mech,1,1
mechdef_piranhas_PIR-S,Mech,1,1
mechdef_cephaluss_CEP-S,Mech,1,1
mechdef_commandos_COM-S,Mech,1,1
mechdef_hollanders_BZK-FS,Mech,1,1
mechdef_mongooses_MON-S,Mech,1,1
mechdef_stingers_STG-S,Mech,1,1
mechdef_urbanmechs_UM-S,Mech,1,1
mechdef_valiants_V4-LNT-S,Mech,1,1
mechdef_valkyries_VLK-S,Mech,1,1
mechdef_wolfhounds_WLF-S1,Mech,1,1
mechdef_wolfhounds_WLF-S2,Mech,1,1
mechdef_malaks_C-MK-S,Mech,1,1
mechdef_blackfalcons_BF-LAM-S,Mech,1,1
mechdef_firebirds_FB-LAM-S,Mech,1,1
mechdef_sabers_SBR-LAM-S,Mech,1,1
mechdef_stingers_STG-LAM-S,Mech,1,1
mechdef_wasps_WSP-LAM-S,Mech,1,1
mechdef_anubis_ABS-S,Mech,1,1
mechdef_anubis_ABS-S2,Mech,1,1
mechdef_bee_BEE-S1,Mech,1,1
mechdef_bee_BEE-S2,Mech,1,1
mechdef_bee_BEE-S3,Mech,1,1
mechdef_commando_COM-S2,Mech,1,1
mechdef_cossack_C-SK1-S,Mech,1,1
mechdef_cyclone_CYC-S,Mech,1,1
mechdef_cyclone_CYC-S2,Mech,1,1
mechdef_duangung_D9-G10-S2,Mech,1,1
mechdef_duangung_D9-G9-S1,Mech,1,1
mechdef_falcon_FLC-S,Mech,1,1
mechdef_falcon_FLC-S2,Mech,1,1
mechdef_fer-de-lance_FDL-S1,Mech,1,1
mechdef_fer-de-lance_FDL-S2,Mech,1,1
mechdef_fireball_ALM-S1,Mech,1,1
mechdef_fireball_ALM-S2,Mech,1,1
mechdef_firebee_FRB-S,Mech,1,1
mechdef_firefly_FFL-S,Mech,1,1
mechdef_firefly_FFL-S2,Mech,1,1
mechdef_firestarter_FS9-S,Mech,1,1
mechdef_firestarter_FS9-S2,Mech,1,1
mechdef_flea_FLE-S,Mech,1,1
mechdef_flea_FLE-S2,Mech,1,1
mechdef_hermes_HER-S1,Mech,1,1
mechdef_hermes_HER-S2,Mech,1,1
mechdef_hornet_HNT-S,Mech,1,1
mechdef_hussar_HSR-S,Mech,1,1
mechdef_jackdaw_JCD-S1,Mech,1,1
mechdef_jackdaw_JCD-S2,Mech,1,1
mechdef_jackrabbitii_JKR-S2,Mech,1,1
mechdef_jackrabbit_JKR-S,Mech,1,1
mechdef_javelin_JVN-S,Mech,1,1
mechdef_javelin_JVN-S2,Mech,1,1
mechdef_jenneriic_JR7-IIC-S1,Mech,1,1
mechdef_jenneriic_JR7-IIC-S2,Mech,1,1
mechdef_jennerrattlesnake_JR7-S2,Mech,1,1
