itemCollection_fp_eae_eas_lightmedmechs,type,qty,weight
mechdef_adders_ADR-S,Mech,1,1
mechdef_arcticcheetahs_ACH-S,Mech,1,1
mechdef_blacklanners_BKL-S,Mech,1,1
mechdef_cougars_CGR-S,Mech,1,1
mechdef_firemoths_FM-S,Mech,1,1
mechdef_hellhounds_HEH-S,Mech,1,1
mechdef_huntsmans_HMN-S,Mech,1,1
mechdef_incubuss_INC-S,Mech,1,1
mechdef_kitfoxs_KFX-S1,Mech,1,1
mechdef_kitfoxs_KFX-S2,Mech,1,1
mechdef_medusas_MED-S1,Mech,1,1
mechdef_medusas_MED-S2,Mech,1,1
mechdef_mistlynxs_MLX-S,Mech,1,1
mechdef_novas_NVA-S1,Mech,1,1
mechdef_novas_NVA-S2,Mech,1,1
mechdef_piranhas_PIR-S,Mech,1,1
mechdef_septicemias_PRI-S,Mech,1,1
mechdef_shadowcats_SHC-S,Mech,1,1
mechdef_stormcrows_SCR-S1,Mech,1,1
mechdef_stormcrows_SCR-S2,Mech,1,1
mechdef_vaporeagles_VGL-S,Mech,1,1
mechdef_vipers_VPR-S1,Mech,1,1
mechdef_vipers_VPR-S2,Mech,1,1
mechdef_bushwackers_BSW-XS,Mech,1,1
mechdef_cephaluss_CEP-S,Mech,1,1
mechdef_cicadas_CDA-S,Mech,1,1
mechdef_commandos_COM-S,Mech,1,1
mechdef_crabs_CRB-S1,Mech,1,1
mechdef_crabs_CRB-S2,Mech,1,1
mechdef_dervishs_DV-S,Mech,1,1
mechdef_griffins_GRF-S,Mech,1,1
mechdef_griffins_GRF-S2,Mech,1,1
mechdef_hatchetmans_HCT-S,Mech,1,1
mechdef_hellspawns_HSN-S,Mech,1,1
mechdef_hollanders_BZK-FS,Mech,1,1
mechdef_hunchbacks_HBK-S1,Mech,1,1
mechdef_hunchbacks_HBK-S2,Mech,1,1
mechdef_hunchbacks_HBK-S3,Mech,1,1
mechdef_huronws_HUR-WO-S,Mech,1,1
mechdef_mongooses_MON-S,Mech,1,1
mechdef_phoenixhawks_PXH-S,Mech,1,1
mechdef_shadowhawks_SHD-S1,Mech,1,1
mechdef_shadowhawks_SHD-S2,Mech,1,1
mechdef_stingers_STG-S,Mech,1,1
mechdef_taloss_TLS-S,Mech,1,1
mechdef_urbanmechs_UM-S,Mech,1,1
mechdef_uziels_UZL-S,Mech,1,1
mechdef_valiants_V4-LNT-S,Mech,1,1
mechdef_valkyries_VLK-S,Mech,1,1
mechdef_wolfhounds_WLF-S1,Mech,1,1
mechdef_wolfhounds_WLF-S2,Mech,1,1
mechdef_wolverines_WVR-S,Mech,1,1
mechdef_malaks_C-MK-S,Mech,1,1
mechdef_pretas_C-PRT-S1,Mech,1,1
mechdef_pretas_C-PRT-S2,Mech,1,1
mechdef_blackfalcons_BF-LAM-S,Mech,1,1
mechdef_firebirds_FB-LAM-S,Mech,1,1
mechdef_jaguars_JGR-LAM-S,Mech,1,1
mechdef_lancers_LNC-LAM-S,Mech,1,1
mechdef_phoenixhawks_PHX-LAM-S,Mech,1,1
mechdef_sabers_SBR-LAM-S,Mech,1,1
