itemCollection_fp_eae_eas_lightmedparts,type,qty,weight
mechdef_adders_ADR-S,MechPart,1,1
mechdef_arcticcheetahs_ACH-S,MechPart,1,1
mechdef_blacklanners_BKL-S,MechPart,1,1
mechdef_cougars_CGR-S,MechPart,1,1
mechdef_firemoths_FM-S,MechPart,1,1
mechdef_hellhounds_HEH-S,MechPart,1,1
mechdef_huntsmans_HMN-S,MechPart,1,1
mechdef_incubuss_INC-S,MechPart,1,1
mechdef_kitfoxs_KFX-S1,MechPart,1,1
mechdef_kitfoxs_KFX-S2,MechPart,1,1
mechdef_medusas_MED-S1,MechPart,1,1
mechdef_medusas_MED-S2,MechPart,1,1
mechdef_mistlynxs_MLX-S,MechPart,1,1
mechdef_novas_NVA-S1,MechPart,1,1
mechdef_novas_NVA-S2,MechPart,1,1
mechdef_piranhas_PIR-S,MechPart,1,1
mechdef_septicemias_PRI-S,MechPart,1,1
mechdef_shadowcats_SHC-S,MechPart,1,1
mechdef_stormcrows_SCR-S1,MechPart,1,1
mechdef_stormcrows_SCR-S2,MechPart,1,1
mechdef_vaporeagles_VGL-S,MechPart,1,1
mechdef_vipers_VPR-S1,MechPart,1,1
mechdef_vipers_VPR-S2,MechPart,1,1
mechdef_bushwackers_BSW-XS,MechPart,1,1
mechdef_cephaluss_CEP-S,MechPart,1,1
mechdef_cicadas_CDA-S,MechPart,1,1
mechdef_commandos_COM-S,MechPart,1,1
mechdef_crabs_CRB-S1,MechPart,1,1
mechdef_crabs_CRB-S2,MechPart,1,1
mechdef_dervishs_DV-S,MechPart,1,1
mechdef_griffins_GRF-S,MechPart,1,1
mechdef_griffins_GRF-S2,MechPart,1,1
mechdef_hatchetmans_HCT-S,MechPart,1,1
mechdef_hellspawns_HSN-S,MechPart,1,1
mechdef_hollanders_BZK-FS,MechPart,1,1
mechdef_hunchbacks_HBK-S1,MechPart,1,1
mechdef_hunchbacks_HBK-S2,MechPart,1,1
mechdef_hunchbacks_HBK-S3,MechPart,1,1
mechdef_huronws_HUR-WO-S,MechPart,1,1
mechdef_mongooses_MON-S,MechPart,1,1
mechdef_phoenixhawks_PXH-S,MechPart,1,1
mechdef_shadowhawks_SHD-S1,MechPart,1,1
mechdef_shadowhawks_SHD-S2,MechPart,1,1
mechdef_stingers_STG-S,MechPart,1,1
mechdef_taloss_TLS-S,MechPart,1,1
mechdef_urbanmechs_UM-S,MechPart,1,1
mechdef_uziels_UZL-S,MechPart,1,1
mechdef_valiants_V4-LNT-S,MechPart,1,1
mechdef_valkyries_VLK-S,MechPart,1,1
mechdef_wolfhounds_WLF-S1,MechPart,1,1
mechdef_wolfhounds_WLF-S2,MechPart,1,1
mechdef_wolverines_WVR-S,MechPart,1,1
mechdef_malaks_C-MK-S,MechPart,1,1
mechdef_pretas_C-PRT-S1,MechPart,1,1
mechdef_pretas_C-PRT-S2,MechPart,1,1
mechdef_blackfalcons_BF-LAM-S,MechPart,1,1
mechdef_firebirds_FB-LAM-S,MechPart,1,1
mechdef_jaguars_JGR-LAM-S,MechPart,1,1
mechdef_lancers_LNC-LAM-S,MechPart,1,1
mechdef_phoenixhawks_PHX-LAM-S,MechPart,1,1
mechdef_sabers_SBR-LAM-S,MechPart,1,1
mechdef_shadowhawks_SHD-LAM-S,MechPart,1,1
mechdef_stingers_STG-LAM-S,MechPart,1,1
mechdef_thunderbirds_TB-LAM-S,MechPart,1,1
mechdef_valkyrieghost_VG-LAM-SS,MechPart,1,1
mechdef_wanetas_WN-LAM-S,MechPart,1,1
mechdef_wasps_WSP-LAM-S,MechPart,1,1
mechdef_whiteeagles_WE-LAM-S,MechPart,1,1
mechdef_yureis_YR-LAM-S,MechPart,1,1
mechdef_anubis_ABS-S,MechPart,1,1
mechdef_anubis_ABS-S2,MechPart,1,1
mechdef_apollo_APL-S1,MechPart,1,1
mechdef_apollo_APL-S2,MechPart,1,1
mechdef_assassinii_ASNII-S1,MechPart,1,1
mechdef_assassinii_ASNII-S2,MechPart,1,1
mechdef_assassin_ASN-S1,MechPart,1,1
mechdef_assassin_ASN-S2,MechPart,1,1
mechdef_bee_BEE-S1,MechPart,1,1
mechdef_bee_BEE-S2,MechPart,1,1
mechdef_bee_BEE-S3,MechPart,1,1
mechdef_blackjack_BJ-S1,MechPart,1,1
mechdef_blackjack_BJ-S2,MechPart,1,1
mechdef_blitzkrieg_BTZ-S,MechPart,1,1
mechdef_bombard_BMB-S1,MechPart,1,1
mechdef_bombard_BMB-S2,MechPart,1,1
mechdef_bombard_BMB-S3,MechPart,1,1
mechdef_bushwacker_BWS-S2,MechPart,1,1
mechdef_centurion_CN9-S,MechPart,1,1
mechdef_centurion_CN9-S2,MechPart,1,1
mechdef_chameleon_CLN-S,MechPart,1,1
mechdef_chameleon_CLN-S2,MechPart,1,1
mechdef_chimera_CMA-S,MechPart,1,1
mechdef_cicada_CDA-S2,MechPart,1,1
mechdef_clint_CLNT-S,MechPart,1,1
mechdef_clint_CLNT-S2,MechPart,1,1
mechdef_commando_COM-S2,MechPart,1,1
mechdef_cossack_C-SK1-S,MechPart,1,1
mechdef_crab_CRB-S3,MechPart,1,1
mechdef_cyclone_CYC-S,MechPart,1,1
mechdef_cyclone_CYC-S2,MechPart,1,1
mechdef_dervish_DV-S2,MechPart,1,1
mechdef_dervish_DV-S3,MechPart,1,1
mechdef_duangung_D9-G10-S2,MechPart,1,1
mechdef_duangung_D9-G9-S1,MechPart,1,1
mechdef_enfield_END-S,MechPart,1,1
mechdef_enfield_END-S2,MechPart,1,1
mechdef_enforcer_ENF-S,MechPart,1,1
mechdef_enforcer_ENF-S2,MechPart,1,1
mechdef_eris_ERS-S,MechPart,1,1
mechdef_eris_ERS-S2,MechPart,1,1
mechdef_falcon_FLC-S,MechPart,1,1
mechdef_falcon_FLC-S2,MechPart,1,1
mechdef_fer-de-lance_FDL-S1,MechPart,1,1
mechdef_fer-de-lance_FDL-S2,MechPart,1,1
mechdef_fireball_ALM-S1,MechPart,1,1
mechdef_fireball_ALM-S2,MechPart,1,1
mechdef_firebee_FRB-S,MechPart,1,1
mechdef_firefly_FFL-S,MechPart,1,1
mechdef_firefly_FFL-S2,MechPart,1,1
mechdef_firestarter_FS9-S,MechPart,1,1
mechdef_firestarter_FS9-S2,MechPart,1,1
mechdef_flea_FLE-S,MechPart,1,1
mechdef_flea_FLE-S2,MechPart,1,1
mechdef_ghost_GST-S1,MechPart,1,1
mechdef_ghost_GST-S2,MechPart,1,1
mechdef_gladiator_GLD-S1,MechPart,1,1
mechdef_gladiator_GLD-S2,MechPart,1,1
mechdef_hatchetman_HCT-S2,MechPart,1,1
mechdef_hellspawn_HSN-S2,MechPart,1,1
mechdef_hellspawn_HSN-S3,MechPart,1,1
mechdef_hermes_HER-S1,MechPart,1,1
mechdef_hermes_HER-S2,MechPart,1,1
mechdef_hoplite_HOP-S,MechPart,1,1
mechdef_hoplite_HOP-S2,MechPart,1,1
mechdef_hornet_HNT-S,MechPart,1,1
mechdef_huronwarrior_HUR-WO-S2,MechPart,1,1
mechdef_hussar_HSR-S,MechPart,1,1
mechdef_icarusii_ICR-S,MechPart,1,1
mechdef_icarusii_ICR-S2,MechPart,1,1
mechdef_jackdaw_JCD-S1,MechPart,1,1
mechdef_jackdaw_JCD-S2,MechPart,1,1
mechdef_jackrabbitii_JKR-S2,MechPart,1,1
mechdef_jackrabbit_JKR-S,MechPart,1,1
mechdef_javelin_JVN-S,MechPart,1,1
mechdef_javelin_JVN-S2,MechPart,1,1
mechdef_jenneriic_JR7-IIC-S1,MechPart,1,1
mechdef_jenneriic_JR7-IIC-S2,MechPart,1,1
mechdef_jennerrattlesnake_JR7-S2,MechPart,1,1
mechdef_jenner_JR7-S,MechPart,1,1
mechdef_kintaro_KTO-S,MechPart,1,1
mechdef_kintaro_KTO-S2,MechPart,1,1
mechdef_komodo_KIM-S,MechPart,1,1
mechdef_komodo_KIM-S2,MechPart,1,1
mechdef_kyudo_KY2-D-S,MechPart,1,1
mechdef_kyudo_KY2-D-S2,MechPart,1,1
mechdef_locust_LCT-S,MechPart,1,1
mechdef_locust_LCT-S2,MechPart,1,1
mechdef_lynx_LNX-S1,MechPart,1,1
mechdef_lynx_LNX-S2,MechPart,1,1
mechdef_mercury_MCY-99W-S1,MechPart,1,1
mechdef_mercury_MCY-S1,MechPart,1,1
mechdef_mongoose_MON-S2,MechPart,1,1
mechdef_mushu_MHU-S1,MechPart,1,1
mechdef_mushu_MHU-S2,MechPart,1,1
mechdef_nighthawk_NTK-S,MechPart,1,1
mechdef_nyx_NX-S1,MechPart,1,1
mechdef_nyx_NX-S2,MechPart,1,1
mechdef_nyx_NX-S3,MechPart,1,1
mechdef_osiris_OSR-S,MechPart,1,1
mechdef_osiris_OSR-S2,MechPart,1,1
mechdef_osprey_OSP-S,MechPart,1,1
mechdef_osprey_OSP-S2,MechPart,1,1
mechdef_owens_OW-S,MechPart,1,1
mechdef_owens_OW-S2,MechPart,1,1
mechdef_panther_PNT-S,MechPart,1,1
mechdef_panther_PNT-S2,MechPart,1,1
mechdef_phoenixhawk_PXH-S2,MechPart,1,1
mechdef_phoenixhawk_PXH-S3,MechPart,1,1
mechdef_raptor_RTX1-O-S1,MechPart,1,1
mechdef_raptor_RTX1-OC-S2,MechPart,1,1
mechdef_raven_RVN-S,MechPart,1,1
mechdef_raven_RVN-S2,MechPart,1,1
mechdef_razorback_RZK-S1,MechPart,1,1
mechdef_razorback_RZK-S2,MechPart,1,1
mechdef_razorback_RZK-S3,MechPart,1,1
mechdef_sentinel_STN-S,MechPart,1,1
mechdef_sentinel_STN-S2,MechPart,1,1
mechdef_shayu_SYU-S,MechPart,1,1
mechdef_shayu_SYU-S2,MechPart,1,1
mechdef_sling_SL-S1,MechPart,1,1
mechdef_sling_SL-S2,MechPart,1,1
mechdef_spector_SPR-S1,MechPart,1,1
mechdef_spector_SPR-S2,MechPart,1,1
mechdef_spider_SDR-S,MechPart,1,1
mechdef_spider_SDR-S2,MechPart,1,1
mechdef_starslayer_STY-S1,MechPart,1,1
mechdef_starslayer_STY-S2,MechPart,1,1
mechdef_stinger_STG-S2,MechPart,1,1
mechdef_strider_SR1-S,MechPart,1,1
mechdef_strider_SR1-S2,MechPart,1,1
mechdef_strider_SR1-S3,MechPart,1,1
mechdef_swordsman_SWD-S,MechPart,1,1
mechdef_talon_TLN-S,MechPart,1,1
mechdef_talon_TLN-S2,MechPart,1,1
mechdef_thorn_THE-S1,MechPart,1,1
mechdef_thorn_THE-S2,MechPart,1,1
mechdef_tiburon_TBN-2-S,MechPart,1,1
mechdef_toro_TR-A-S,MechPart,1,1
mechdef_toro_TR-B-S2,MechPart,1,1
mechdef_trebuchet_TBT-S,MechPart,1,1
mechdef_trebuchet_TBT-S2,MechPart,1,1
mechdef_trebuchet_TBT-S3,MechPart,1,1
mechdef_urbanmechk-9_UM-S2,MechPart,1,1
mechdef_urbanmech_UM-S3,MechPart,1,1
mechdef_uziel_UZL-S2,MechPart,1,1
mechdef_uziel_UZL-S3,MechPart,1,1
mechdef_valkyrie_VLK-S2,MechPart,1,1
mechdef_vindicator_VND-S,MechPart,1,1
mechdef_vindicator_VND-S2,MechPart,1,1
mechdef_vulcan_VL-S,MechPart,1,1
mechdef_vulcan_VL-S2,MechPart,1,1
mechdef_wasp_WSP-S,MechPart,1,1
mechdef_wasp_WSP-S2,MechPart,1,1
mechdef_whitworth_WTH-S1,MechPart,1,1
mechdef_whitworth_WTH-S2,MechPart,1,1
mechdef_wight_WGT-S,MechPart,1,1
mechdef_wight_WGT-S2,MechPart,1,1
mechdef_wolfhound_WLF-S3,MechPart,1,1
mechdef_wolverine_WVR-S2,MechPart,1,1
mechdef_wraith_TR-S,MechPart,1,1
mechdef_wraith_TR-S2,MechPart,1,1
mechdef_wyvern_WVE-S,MechPart,1,1
mechdef_wyvern_WVE-S2,MechPart,1,1
mechdef_adder_ADR-S2,MechPart,1,1
mechdef_adder_ADR-S3,MechPart,1,1
mechdef_arcticcheetah_ACH-S2,MechPart,1,1
mechdef_arcticwolf_ACW-S1,MechPart,1,1
mechdef_arcticwolf_ACW-S2,MechPart,1,1
mechdef_arcticwolf_ACW-S3,MechPart,1,1
mechdef_blacklanner_BKL-S2,MechPart,1,1
mechdef_cazador_CZD-S,MechPart,1,1
mechdef_conjurer_WVR-IIC-S1,MechPart,1,1
mechdef_conjurer_WVR-IIC-S2,MechPart,1,1
mechdef_cougar_CGR-S2,MechPart,1,1
mechdef_cougar_CGR-S3,MechPart,1,1
mechdef_cougar_CGR-XR-S1,MechPart,1,1
mechdef_darkcrow_DCR-S,MechPart,1,1
mechdef_firefalcon_FF-S1,MechPart,1,1
mechdef_firefalcon_FF-S2,MechPart,1,1
mechdef_firefalcon_FF-S3,MechPart,1,1
mechdef_firemoth_FM-S2,MechPart,1,1
mechdef_fox_FX-S,MechPart,1,1
mechdef_grendel_GDL-S1,MechPart,1,1
mechdef_grendel_GDL-S2,MechPart,1,1
mechdef_hammerhead_HMH-S1,MechPart,1,1
mechdef_hammerhead_HMH-S2,MechPart,1,1
mechdef_howler_HWL-S1,MechPart,1,1
mechdef_howler_HWL-S2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-S,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-S2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-S3,MechPart,1,1
mechdef_huntsman_HMN-S2,MechPart,1,1
mechdef_iceferret_IFR-S,MechPart,1,1
mechdef_iceferret_IFR-S2,MechPart,1,1
mechdef_incubus_INC-S2,MechPart,1,1
mechdef_incubus_INC-S3,MechPart,1,1
mechdef_locust_LCT-IIC-2-S2,MechPart,1,1
mechdef_locust_LCT-IIC-S,MechPart,1,1
mechdef_mercuryii_MCY-100S,MechPart,1,1
mechdef_mercuryii_MCY-110S,MechPart,1,1
mechdef_mistlynx_MLX-S2,MechPart,1,1
mechdef_naja_NJA-S,MechPart,1,1
mechdef_naja_NJA-S2,MechPart,1,1
mechdef_phantom_PHN-S1,MechPart,1,1
mechdef_phantom_PHN-S2,MechPart,1,1
mechdef_phantom_PHN-S3,MechPart,1,1
mechdef_piranha_PIR-S2,MechPart,1,1
mechdef_piranha_PIR-S3,MechPart,1,1
mechdef_septicemia_PRI-S2,MechPart,1,1
mechdef_septicemia_PRI-S3,MechPart,1,1
mechdef_shadowcat_SHC-S2,MechPart,1,1
mechdef_shadowcat_SHC-S3,MechPart,1,1
mechdef_solitaire_SLT-1-S,MechPart,1,1
mechdef_stag_ST-S1,MechPart,1,1
mechdef_stag_ST-S2,MechPart,1,1
mechdef_stag_ST-S3,MechPart,1,1
mechdef_tiburon_TBN-1-S,MechPart,1,1
mechdef_vaporeagle_VGL-S2,MechPart,1,1
