itemCollection_fp_eae_eas_medmechs,type,qty,weight
mechdef_blacklanners_BKL-S,Mech,1,1
mechdef_hellhounds_HEH-S,Mech,1,1
mechdef_huntsmans_HMN-S,Mech,1,1
mechdef_medusas_MED-S1,Mech,1,1
mechdef_medusas_MED-S2,Mech,1,1
mechdef_novas_NVA-S1,Mech,1,1
mechdef_novas_NVA-S2,Mech,1,1
mechdef_septicemias_PRI-S,Mech,1,1
mechdef_shadowcats_SHC-S,Mech,1,1
mechdef_stormcrows_SCR-S1,Mech,1,1
mechdef_stormcrows_SCR-S2,Mech,1,1
mechdef_vaporeagles_VGL-S,Mech,1,1
mechdef_vipers_VPR-S1,Mech,1,1
mechdef_vipers_VPR-S2,Mech,1,1
mechdef_bushwackers_BSW-XS,Mech,1,1
mechdef_cicadas_CDA-S,Mech,1,1
mechdef_crabs_CRB-S1,Mech,1,1
mechdef_crabs_CRB-S2,Mech,1,1
mechdef_dervishs_DV-S,Mech,1,1
mechdef_griffins_GRF-S,Mech,1,1
mechdef_griffins_GRF-S2,Mech,1,1
mechdef_hatchetmans_HCT-S,Mech,1,1
mechdef_hellspawns_HSN-S,Mech,1,1
mechdef_hunchbacks_HBK-S1,Mech,1,1
mechdef_hunchbacks_HBK-S2,Mech,1,1
mechdef_hunchbacks_HBK-S3,Mech,1,1
mechdef_huronws_HUR-WO-S,Mech,1,1
mechdef_phoenixhawks_PXH-S,Mech,1,1
mechdef_shadowhawks_SHD-S1,Mech,1,1
mechdef_shadowhawks_SHD-S2,Mech,1,1
mechdef_taloss_TLS-S,Mech,1,1
mechdef_uziels_UZL-S,Mech,1,1
mechdef_wolverines_WVR-S,Mech,1,1
mechdef_pretas_C-PRT-S1,Mech,1,1
mechdef_pretas_C-PRT-S2,Mech,1,1
mechdef_jaguars_JGR-LAM-S,Mech,1,1
mechdef_lancers_LNC-LAM-S,Mech,1,1
mechdef_phoenixhawks_PHX-LAM-S,Mech,1,1
mechdef_shadowhawks_SHD-LAM-S,Mech,1,1
mechdef_thunderbirds_TB-LAM-S,Mech,1,1
mechdef_valkyrieghost_VG-LAM-SS,Mech,1,1
mechdef_wanetas_WN-LAM-S,Mech,1,1
mechdef_whiteeagles_WE-LAM-S,Mech,1,1
mechdef_yureis_YR-LAM-S,Mech,1,1
mechdef_apollo_APL-S1,Mech,1,1
mechdef_apollo_APL-S2,Mech,1,1
mechdef_assassinii_ASNII-S1,Mech,1,1
mechdef_assassinii_ASNII-S2,Mech,1,1
mechdef_assassin_ASN-S1,Mech,1,1
mechdef_assassin_ASN-S2,Mech,1,1
mechdef_blackjack_BJ-S1,Mech,1,1
mechdef_blackjack_BJ-S2,Mech,1,1
mechdef_blitzkrieg_BTZ-S,Mech,1,1
mechdef_bombard_BMB-S1,Mech,1,1
mechdef_bombard_BMB-S2,Mech,1,1
mechdef_bombard_BMB-S3,Mech,1,1
mechdef_bushwacker_BWS-S2,Mech,1,1
mechdef_centurion_CN9-S,Mech,1,1
mechdef_centurion_CN9-S2,Mech,1,1
mechdef_chameleon_CLN-S,Mech,1,1
mechdef_chameleon_CLN-S2,Mech,1,1
mechdef_chimera_CMA-S,Mech,1,1
mechdef_cicada_CDA-S2,Mech,1,1
mechdef_clint_CLNT-S,Mech,1,1
mechdef_clint_CLNT-S2,Mech,1,1
mechdef_crab_CRB-S3,Mech,1,1
mechdef_dervish_DV-S2,Mech,1,1
mechdef_dervish_DV-S3,Mech,1,1
mechdef_enfield_END-S,Mech,1,1
mechdef_enfield_END-S2,Mech,1,1
mechdef_enforcer_ENF-S,Mech,1,1
mechdef_enforcer_ENF-S2,Mech,1,1
mechdef_eris_ERS-S,Mech,1,1
mechdef_gladiator_GLD-S1,Mech,1,1
mechdef_gladiator_GLD-S2,Mech,1,1
mechdef_hatchetman_HCT-S2,Mech,1,1
mechdef_hellspawn_HSN-S2,Mech,1,1
mechdef_hellspawn_HSN-S3,Mech,1,1
mechdef_hoplite_HOP-S,Mech,1,1
mechdef_hoplite_HOP-S2,Mech,1,1
mechdef_huronwarrior_HUR-WO-S2,Mech,1,1
mechdef_icarusii_ICR-S,Mech,1,1
mechdef_icarusii_ICR-S2,Mech,1,1
mechdef_kintaro_KTO-S,Mech,1,1
mechdef_kintaro_KTO-S2,Mech,1,1
mechdef_komodo_KIM-S,Mech,1,1
mechdef_komodo_KIM-S2,Mech,1,1
mechdef_kyudo_KY2-D-S,Mech,1,1
mechdef_kyudo_KY2-D-S2,Mech,1,1
mechdef_lynx_LNX-S1,Mech,1,1
mechdef_lynx_LNX-S2,Mech,1,1
mechdef_mushu_MHU-S1,Mech,1,1
mechdef_mushu_MHU-S2,Mech,1,1
mechdef_osprey_OSP-S,Mech,1,1
mechdef_osprey_OSP-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S3,Mech,1,1
mechdef_sentinel_STN-S,Mech,1,1
mechdef_sentinel_STN-S2,Mech,1,1
mechdef_shayu_SYU-S,Mech,1,1
mechdef_shayu_SYU-S2,Mech,1,1
mechdef_starslayer_STY-S1,Mech,1,1
mechdef_starslayer_STY-S2,Mech,1,1
mechdef_strider_SR1-S,Mech,1,1
mechdef_strider_SR1-S2,Mech,1,1
mechdef_strider_SR1-S3,Mech,1,1
mechdef_swordsman_SWD-S,Mech,1,1
mechdef_trebuchet_TBT-S,Mech,1,1
mechdef_trebuchet_TBT-S2,Mech,1,1
mechdef_trebuchet_TBT-S3,Mech,1,1
mechdef_uziel_UZL-S2,Mech,1,1
mechdef_uziel_UZL-S3,Mech,1,1
mechdef_vindicator_VND-S,Mech,1,1
mechdef_vindicator_VND-S2,Mech,1,1
mechdef_vulcan_VL-S,Mech,1,1
mechdef_vulcan_VL-S2,Mech,1,1
mechdef_wolverine_WVR-S2,Mech,1,1
mechdef_wraith_TR-S,Mech,1,1
mechdef_wraith_TR-S2,Mech,1,1
mechdef_wyvern_WVE-S,Mech,1,1
mechdef_wyvern_WVE-S2,Mech,1,1
mechdef_arcticwolf_ACW-S1,Mech,1,1
mechdef_arcticwolf_ACW-S2,Mech,1,1
mechdef_arcticwolf_ACW-S3,Mech,1,1
mechdef_blacklanner_BKL-S2,Mech,1,1
mechdef_conjurer_WVR-IIC-S1,Mech,1,1
mechdef_conjurer_WVR-IIC-S2,Mech,1,1
mechdef_darkcrow_DCR-S,Mech,1,1
mechdef_fox_FX-S,Mech,1,1
mechdef_grendel_GDL-S1,Mech,1,1
mechdef_grendel_GDL-S2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S3,Mech,1,1
mechdef_huntsman_HMN-S2,Mech,1,1
mechdef_iceferret_IFR-S,Mech,1,1
mechdef_iceferret_IFR-S2,Mech,1,1
mechdef_mercuryii_MCY-100S,Mech,1,1
mechdef_mercuryii_MCY-110S,Mech,1,1
mechdef_naja_NJA-S,Mech,1,1
mechdef_naja_NJA-S2,Mech,1,1
mechdef_phantom_PHN-S1,Mech,1,1
mechdef_phantom_PHN-S2,Mech,1,1
mechdef_phantom_PHN-S3,Mech,1,1
mechdef_septicemia_PRI-S2,Mech,1,1
mechdef_septicemia_PRI-S3,Mech,1,1
mechdef_shadowcat_SHC-S2,Mech,1,1
mechdef_shadowcat_SHC-S3,Mech,1,1
mechdef_stag_ST-S1,Mech,1,1
mechdef_stag_ST-S2,Mech,1,1
