itemCollection_fp_eae_ef_asltsupermechs,type,qty,weight
mechdef_annihilator_ANH-1AX1,Mech,1,1
mechdef_atlas_AS7-D-HTX,Mech,1,1
mechdef_atlas_AS7-DX1,Mech,1,1
mechdef_atlas_AS7-DX2,Mech,1,1
mechdef_awesome_AWS-8QX1,Mech,1,1
mechdef_banshee_BNC-3SX1,Mech,1,1
mechdef_battlemaster_BLR-1GBX,Mech,1,1
mechdef_battlemaster_BLR-1GX,Mech,1,1
mechdef_bullshark_BSK-M3X,Mech,1,1
mechdef_bullshark_BSK-M3X2,Mech,1,1
mechdef_bullshark_BSK-MAZX,Mech,1,1
mechdef_cyclops_CP-10-ZX1,Mech,1,1
mechdef_highlander_HGN-732bX,Mech,1,1
mechdef_kingcrab_KGC-0000X1,Mech,1,1
mechdef_stalker_STK-3FX,Mech,1,1
mechdef_zeus_ZEU-5TX,Mech,1,1
mechdef_zeus_ZEU-6SX1,Mech,1,1
mechdef_annihilator_ANH-2AX,Mech,1,1
mechdef_atlas_AS7-D2,Mech,1,1
mechdef_atlas_AS7-D3,Mech,1,1
mechdef_battlehammer_BHA-2DX,Mech,1,1
mechdef_battlemaster_BLR-3MX,Mech,1,1
mechdef_battlemaster_BLR-CX,Mech,1,1
mechdef_berserker_BRZ-A3X,Mech,1,1
mechdef_bigfoot_BFT-1GX,Mech,1,1
mechdef_charger_CGR-1A9X,Mech,1,1
mechdef_crockett_CRK-5003-0X,Mech,1,1
mechdef_crockett_CRK-5003-1X,Mech,1,1
mechdef_diomede_D-M3D-MX,Mech,1,1
mechdef_emperor_EMP-6AX,Mech,1,1
mechdef_grandtitan_T-IT-N10MX,Mech,1,1
mechdef_grandtitan_T-IT-N11MX,Mech,1,1
mechdef_gunslinger_GUN-1ERDX,Mech,1,1
mechdef_gunslinger_GUN-3ERDX,Mech,1,1
mechdef_imp_IMP-3EX,Mech,1,1
mechdef_jotunn_JTN-5QX,Mech,1,1
mechdef_jotunn_JTN-6QX,Mech,1,1
mechdef_juggernaut_JG-R9T1X,Mech,1,1
mechdef_mackie-10RX,Mech,1,1
mechdef_mackie_MSK-7AX,Mech,1,1
mechdef_mackie_MSK-9HX,Mech,1,1
mechdef_nightstar_NSR-9JX,Mech,1,1
mechdef_pillager_PLG-1NX,Mech,1,1
mechdef_pillager_PLG-3ZX,Mech,1,1
mechdef_rampage_RMP-4GX,Mech,1,1
mechdef_rampage_RMP-5GX,Mech,1,1
mechdef_salamander_PPR-5SX,Mech,1,1
mechdef_salamander_PPR-6TX,Mech,1,1
mechdef_shogun_SHG-2FX,Mech,1,1
mechdef_sorcerer_SRC-1AX,Mech,1,1
mechdef_sorcerer_SRC-1BX,Mech,1,1
mechdef_sorcerer_SRC-1CX,Mech,1,1
mechdef_stalker_STK-5SX,Mech,1,1
mechdef_striker_STC-2CX,Mech,1,1
mechdef_striker_STC-2DX,Mech,1,1
mechdef_striker_STC-2SX,Mech,1,1
mechdef_sunder_SD1-OFCCWX,Mech,1,1
mechdef_sunder_SD1-OX,Mech,1,1
mechdef_thug_THG-11EX,Mech,1,1
mechdef_thunderhawk_TDK-7XX,Mech,1,1
mechdef_thunderhawk_TDK-7YX,Mech,1,1
mechdef_titanii_TI-2PX,Mech,1,1
mechdef_titan_TI-1AX,Mech,1,1
mechdef_victor_VTR-9XX,Mech,1,1
mechdef_viking_VKG-2FX,Mech,1,1
mechdef_viking_VKG-2GX,Mech,1,1
mechdef_ymir_BWP-2BX,Mech,1,1
