itemCollection_fp_eae_ef_asltsuperparts,type,qty,weight
mechdef_annihilator_ANH-1AX1,MechPart,1,1
mechdef_atlas_AS7-D-HTX,MechPart,1,1
mechdef_atlas_AS7-DX1,MechPart,1,1
mechdef_atlas_AS7-DX2,MechPart,1,1
mechdef_awesome_AWS-8QX1,MechPart,1,1
mechdef_banshee_BNC-3SX1,MechPart,1,1
mechdef_battlemaster_BLR-1GBX,MechPart,1,1
mechdef_battlemaster_BLR-1GX,MechPart,1,1
mechdef_bullshark_BSK-M3X,MechPart,1,1
mechdef_bullshark_BSK-M3X2,MechPart,1,1
mechdef_bullshark_BSK-MAZX,MechPart,1,1
mechdef_cyclops_CP-10-ZX1,MechPart,1,1
mechdef_highlander_HGN-732bX,MechPart,1,1
mechdef_kingcrab_KGC-0000X1,MechPart,1,1
mechdef_stalker_STK-3FX,MechPart,1,1
mechdef_zeus_ZEU-5TX,MechPart,1,1
mechdef_zeus_ZEU-6SX1,MechPart,1,1
mechdef_annihilator_ANH-2AX,MechPart,1,1
mechdef_atlas_AS7-D2,MechPart,1,1
mechdef_atlas_AS7-D3,MechPart,1,1
mechdef_battlehammer_BHA-2DX,MechPart,1,1
mechdef_battlemaster_BLR-3MX,MechPart,1,1
mechdef_battlemaster_BLR-CX,MechPart,1,1
mechdef_berserker_BRZ-A3X,MechPart,1,1
mechdef_bigfoot_BFT-1GX,MechPart,1,1
mechdef_charger_CGR-1A9X,MechPart,1,1
mechdef_crockett_CRK-5003-0X,MechPart,1,1
mechdef_crockett_CRK-5003-1X,MechPart,1,1
mechdef_diomede_D-M3D-MX,MechPart,1,1
mechdef_emperor_EMP-6AX,MechPart,1,1
mechdef_grandtitan_T-IT-N10MX,MechPart,1,1
mechdef_grandtitan_T-IT-N11MX,MechPart,1,1
mechdef_gunslinger_GUN-1ERDX,MechPart,1,1
mechdef_gunslinger_GUN-3ERDX,MechPart,1,1
mechdef_imp_IMP-3EX,MechPart,1,1
mechdef_jotunn_JTN-5QX,MechPart,1,1
mechdef_jotunn_JTN-6QX,MechPart,1,1
mechdef_juggernaut_JG-R9T1X,MechPart,1,1
mechdef_mackie-10RX,MechPart,1,1
mechdef_mackie_MSK-7AX,MechPart,1,1
mechdef_mackie_MSK-9HX,MechPart,1,1
mechdef_nightstar_NSR-9JX,MechPart,1,1
mechdef_pillager_PLG-1NX,MechPart,1,1
mechdef_pillager_PLG-3ZX,MechPart,1,1
mechdef_rampage_RMP-4GX,MechPart,1,1
mechdef_rampage_RMP-5GX,MechPart,1,1
mechdef_salamander_PPR-5SX,MechPart,1,1
mechdef_salamander_PPR-6TX,MechPart,1,1
mechdef_shogun_SHG-2FX,MechPart,1,1
mechdef_sorcerer_SRC-1AX,MechPart,1,1
mechdef_sorcerer_SRC-1BX,MechPart,1,1
mechdef_sorcerer_SRC-1CX,MechPart,1,1
mechdef_stalker_STK-5SX,MechPart,1,1
mechdef_striker_STC-2CX,MechPart,1,1
mechdef_striker_STC-2DX,MechPart,1,1
mechdef_striker_STC-2SX,MechPart,1,1
mechdef_sunder_SD1-OFCCWX,MechPart,1,1
mechdef_sunder_SD1-OX,MechPart,1,1
mechdef_thug_THG-11EX,MechPart,1,1
mechdef_thunderhawk_TDK-7XX,MechPart,1,1
mechdef_thunderhawk_TDK-7YX,MechPart,1,1
mechdef_titanii_TI-2PX,MechPart,1,1
mechdef_titan_TI-1AX,MechPart,1,1
mechdef_victor_VTR-9XX,MechPart,1,1
mechdef_viking_VKG-2FX,MechPart,1,1
mechdef_viking_VKG-2GX,MechPart,1,1
mechdef_ymir_BWP-2BX,MechPart,1,1
