itemCollection_fp_eae_ef_heavyasltmechs,type,qty,weight
mechdef_annihilator_ANH-1AX1,Mech,1,1
mechdef_archer_ARC-2RX1,Mech,1,1
mechdef_archer_ARC-2SX1,Mech,1,1
mechdef_atlas_AS7-D-HTX,Mech,1,1
mechdef_atlas_AS7-DX1,Mech,1,1
mechdef_atlas_AS7-DX2,Mech,1,1
mechdef_awesome_AWS-8QX1,Mech,1,1
mechdef_banshee_BNC-3SX1,Mech,1,1
mechdef_battlemaster_BLR-1GBX,Mech,1,1
mechdef_battlemaster_BLR-1GX,Mech,1,1
mechdef_blackknight_BL-6-KNTX1,Mech,1,1
mechdef_blackknight_BL-6b-KNTX,Mech,1,1
mechdef_bullshark_BSK-M3X,Mech,1,1
mechdef_bullshark_BSK-M3X2,Mech,1,1
mechdef_bullshark_BSK-MAZX,Mech,1,1
mechdef_cataphract_CTF-1XA,Mech,1,1
mechdef_cataphract_CTF-1XB,Mech,1,1
mechdef_cyclops_CP-10-ZX1,Mech,1,1
mechdef_granddragon_DRG-1GX,Mech,1,1
mechdef_grasshopper_GHR-5HX,Mech,1,1
mechdef_highlander_HGN-732bX,Mech,1,1
mechdef_jagermech_JM6-SX,Mech,1,1
mechdef_jagermech_JM6-SX2,Mech,1,1
mechdef_kingcrab_KGC-0000X1,Mech,1,1
mechdef_marauder_MAD-2RX,Mech,1,1
mechdef_marauder_MAD-3RX1,Mech,1,1
mechdef_orion_ON1-VX1,Mech,1,1
mechdef_orion_ON1-VX2,Mech,1,1
mechdef_quickdraw_QKD-4GX,Mech,1,1
mechdef_stalker_STK-3FX,Mech,1,1
mechdef_thunderbolt_TDR-5SX,Mech,1,1
mechdef_warhammer_WHM-6RX1,Mech,1,1
mechdef_warhammer_WHM-7AX,Mech,1,1
mechdef_zeus_ZEU-5TX,Mech,1,1
mechdef_zeus_ZEU-6SX1,Mech,1,1
mechdef_annihilator_ANH-2AX,Mech,1,1
mechdef_anvil_ANV-3MX,Mech,1,1
mechdef_anvil_ANV-5MX,Mech,1,1
mechdef_argus_AGS-2DX,Mech,1,1
mechdef_atlas_AS7-D2,Mech,1,1
mechdef_atlas_AS7-D3,Mech,1,1
mechdef_battleaxe_BKX-7KX,Mech,1,1
mechdef_battleaxe_BKX-7NCX,Mech,1,1
mechdef_battlehammer_BHA-2DX,Mech,1,1
mechdef_battlemaster_BLR-3MX,Mech,1,1
mechdef_battlemaster_BLR-CX,Mech,1,1
mechdef_bellerophon_BEL-1XX,Mech,1,1
mechdef_berserker_BRZ-A3X,Mech,1,1
mechdef_bigfoot_BFT-1GX,Mech,1,1
mechdef_bombardier_BMB-14CX,Mech,1,1
mechdef_caesar_CES-3RX,Mech,1,1
mechdef_caesar_CES-4RX,Mech,1,1
mechdef_catapult_CPLT-C1X,Mech,1,1
mechdef_catapult_CPLT-K2X,Mech,1,1
mechdef_champion_CHP-1NbX,Mech,1,1
mechdef_champion_CHP-3NX,Mech,1,1
mechdef_charger_CGR-1A9X,Mech,1,1
mechdef_crockett_CRK-5003-0X,Mech,1,1
mechdef_crockett_CRK-5003-1X,Mech,1,1
mechdef_diomede_D-M3D-MX,Mech,1,1
mechdef_dragonfire_DGR-3FX,Mech,1,1
mechdef_dragon_DRG-1NX,Mech,1,1
mechdef_emperor_EMP-6AX,Mech,1,1
mechdef_excalibur_EXC-B2bX,Mech,1,1
mechdef_grandtitan_T-IT-N10MX,Mech,1,1
mechdef_grandtitan_T-IT-N11MX,Mech,1,1
mechdef_guillotine_GLT-3NESPX,Mech,1,1
mechdef_guillotine_GLT-3NX,Mech,1,1
mechdef_gunslinger_GUN-1ERDX,Mech,1,1
mechdef_gunslinger_GUN-3ERDX,Mech,1,1
mechdef_hammerhands_HMH-3DX,Mech,1,1
mechdef_hammerhands_HMH-4DX,Mech,1,1
mechdef_hector_HOR-1BX,Mech,1,1
mechdef_hector_HOR-1CX,Mech,1,1
mechdef_helios_HEL-3DX,Mech,1,1
mechdef_imp_IMP-3EX,Mech,1,1
mechdef_jinggau_JN-G8AX,Mech,1,1
mechdef_juggernaut_JG-R9T1X,Mech,1,1
mechdef_koschei_KSC-3IX,Mech,1,1
mechdef_koschei_KSC-3LX,Mech,1,1
mechdef_liberty_LBT-ODX,Mech,1,1
mechdef_liberty_LBT-OX,Mech,1,1
mechdef_mackie-10RX,Mech,1,1
mechdef_mackie_MSK-7AX,Mech,1,1
