itemCollection_fp_eae_ef_heavyasltparts,type,qty,weight
mechdef_annihilator_ANH-1AX1,MechPart,1,1
mechdef_archer_ARC-2RX1,MechPart,1,1
mechdef_archer_ARC-2SX1,MechPart,1,1
mechdef_atlas_AS7-D-HTX,MechPart,1,1
mechdef_atlas_AS7-DX1,MechPart,1,1
mechdef_atlas_AS7-DX2,MechPart,1,1
mechdef_awesome_AWS-8QX1,MechPart,1,1
mechdef_banshee_BNC-3SX1,MechPart,1,1
mechdef_battlemaster_BLR-1GBX,MechPart,1,1
mechdef_battlemaster_BLR-1GX,MechPart,1,1
mechdef_blackknight_BL-6-KNTX1,MechPart,1,1
mechdef_blackknight_BL-6b-KNTX,MechPart,1,1
mechdef_bullshark_BSK-M3X,MechPart,1,1
mechdef_bullshark_BSK-M3X2,MechPart,1,1
mechdef_bullshark_BSK-MAZX,MechPart,1,1
mechdef_cataphract_CTF-1XA,MechPart,1,1
mechdef_cataphract_CTF-1XB,MechPart,1,1
mechdef_cyclops_CP-10-ZX1,MechPart,1,1
mechdef_granddragon_DRG-1GX,MechPart,1,1
mechdef_grasshopper_GHR-5HX,MechPart,1,1
mechdef_highlander_HGN-732bX,MechPart,1,1
mechdef_jagermech_JM6-SX,MechPart,1,1
mechdef_jagermech_JM6-SX2,MechPart,1,1
mechdef_kingcrab_KGC-0000X1,MechPart,1,1
mechdef_marauder_MAD-2RX,MechPart,1,1
mechdef_marauder_MAD-3RX1,MechPart,1,1
mechdef_orion_ON1-VX1,MechPart,1,1
mechdef_orion_ON1-VX2,MechPart,1,1
mechdef_quickdraw_QKD-4GX,MechPart,1,1
mechdef_stalker_STK-3FX,MechPart,1,1
mechdef_thunderbolt_TDR-5SX,MechPart,1,1
mechdef_warhammer_WHM-6RX1,MechPart,1,1
mechdef_warhammer_WHM-7AX,MechPart,1,1
mechdef_zeus_ZEU-5TX,MechPart,1,1
mechdef_zeus_ZEU-6SX1,MechPart,1,1
mechdef_annihilator_ANH-2AX,MechPart,1,1
mechdef_anvil_ANV-3MX,MechPart,1,1
mechdef_anvil_ANV-5MX,MechPart,1,1
mechdef_argus_AGS-2DX,MechPart,1,1
mechdef_atlas_AS7-D2,MechPart,1,1
mechdef_atlas_AS7-D3,MechPart,1,1
mechdef_battleaxe_BKX-7KX,MechPart,1,1
mechdef_battleaxe_BKX-7NCX,MechPart,1,1
mechdef_battlehammer_BHA-2DX,MechPart,1,1
mechdef_battlemaster_BLR-3MX,MechPart,1,1
mechdef_battlemaster_BLR-CX,MechPart,1,1
mechdef_bellerophon_BEL-1XX,MechPart,1,1
mechdef_berserker_BRZ-A3X,MechPart,1,1
mechdef_bigfoot_BFT-1GX,MechPart,1,1
mechdef_bombardier_BMB-14CX,MechPart,1,1
mechdef_caesar_CES-3RX,MechPart,1,1
mechdef_caesar_CES-4RX,MechPart,1,1
mechdef_catapult_CPLT-C1X,MechPart,1,1
mechdef_catapult_CPLT-K2X,MechPart,1,1
mechdef_champion_CHP-1NbX,MechPart,1,1
mechdef_champion_CHP-3NX,MechPart,1,1
mechdef_charger_CGR-1A9X,MechPart,1,1
mechdef_crockett_CRK-5003-0X,MechPart,1,1
mechdef_crockett_CRK-5003-1X,MechPart,1,1
mechdef_diomede_D-M3D-MX,MechPart,1,1
mechdef_dragonfire_DGR-3FX,MechPart,1,1
mechdef_dragon_DRG-1NX,MechPart,1,1
mechdef_emperor_EMP-6AX,MechPart,1,1
mechdef_excalibur_EXC-B2bX,MechPart,1,1
mechdef_grandtitan_T-IT-N10MX,MechPart,1,1
mechdef_grandtitan_T-IT-N11MX,MechPart,1,1
mechdef_guillotine_GLT-3NESPX,MechPart,1,1
mechdef_guillotine_GLT-3NX,MechPart,1,1
mechdef_gunslinger_GUN-1ERDX,MechPart,1,1
mechdef_gunslinger_GUN-3ERDX,MechPart,1,1
mechdef_hammerhands_HMH-3DX,MechPart,1,1
mechdef_hammerhands_HMH-4DX,MechPart,1,1
mechdef_hector_HOR-1BX,MechPart,1,1
mechdef_hector_HOR-1CX,MechPart,1,1
mechdef_helios_HEL-3DX,MechPart,1,1
mechdef_imp_IMP-3EX,MechPart,1,1
mechdef_jinggau_JN-G8AX,MechPart,1,1
mechdef_juggernaut_JG-R9T1X,MechPart,1,1
mechdef_koschei_KSC-3IX,MechPart,1,1
mechdef_koschei_KSC-3LX,MechPart,1,1
mechdef_liberty_LBT-ODX,MechPart,1,1
mechdef_liberty_LBT-OX,MechPart,1,1
mechdef_mackie-10RX,MechPart,1,1
mechdef_mackie_MSK-7AX,MechPart,1,1
mechdef_mackie_MSK-9HX,MechPart,1,1
mechdef_merlin_MLN-1AX,MechPart,1,1
mechdef_merlin_MLN-1PX,MechPart,1,1
mechdef_nightstar_NSR-9JX,MechPart,1,1
mechdef_ostroc_OSR-2MX,MechPart,1,1
mechdef_ostwar_OWR-2MX,MechPart,1,1
mechdef_ostwar_OWR-3MX,MechPart,1,1
mechdef_penetrator_PTR-4DX,MechPart,1,1
mechdef_penetrator_PTR-4FX,MechPart,1,1
mechdef_pillager_PLG-1NX,MechPart,1,1
mechdef_pillager_PLG-3ZX,MechPart,1,1
mechdef_quickdraw_QKD-5KX,MechPart,1,1
mechdef_quickdraw_QKD-8KX,MechPart,1,1
mechdef_rakshasa_MDG-1AX,MechPart,1,1
mechdef_rampage_RMP-4GX,MechPart,1,1
mechdef_rampage_RMP-5GX,MechPart,1,1
mechdef_rifleman_RFL-3MX,MechPart,1,1
mechdef_roughneck_RGH-1AX,MechPart,1,1
mechdef_roughneck_RGH-2AX,MechPart,1,1
mechdef_roughneck_RGH-3AX,MechPart,1,1
mechdef_salamander_PPR-5SX,MechPart,1,1
mechdef_salamander_PPR-6TX,MechPart,1,1
mechdef_shogun_SHG-2FX,MechPart,1,1
mechdef_shootist_ST-8AX,MechPart,1,1
mechdef_shootist_ST-9CX,MechPart,1,1
mechdef_sorcerer_SRC-1AX,MechPart,1,1
