itemCollection_fp_eae_ef_heavyparts,type,qty,weight
mechdef_archer_ARC-2RX1,MechPart,1,1
mechdef_archer_ARC-2SX1,MechPart,1,1
mechdef_blackknight_BL-6-KNTX1,MechPart,1,1
mechdef_blackknight_BL-6b-KNTX,MechPart,1,1
mechdef_cataphract_CTF-1XA,MechPart,1,1
mechdef_cataphract_CTF-1XB,MechPart,1,1
mechdef_granddragon_DRG-1GX,MechPart,1,1
mechdef_grasshopper_GHR-5HX,MechPart,1,1
mechdef_jagermech_JM6-SX,MechPart,1,1
mechdef_jagermech_JM6-SX2,MechPart,1,1
mechdef_marauder_MAD-2RX,MechPart,1,1
mechdef_marauder_MAD-3RX1,MechPart,1,1
mechdef_orion_ON1-VX1,MechPart,1,1
mechdef_orion_ON1-VX2,MechPart,1,1
mechdef_quickdraw_QKD-4GX,MechPart,1,1
mechdef_thunderbolt_TDR-5SX,MechPart,1,1
mechdef_warhammer_WHM-6RX1,MechPart,1,1
mechdef_warhammer_WHM-7AX,MechPart,1,1
mechdef_anvil_ANV-3MX,MechPart,1,1
mechdef_anvil_ANV-5MX,MechPart,1,1
mechdef_argus_AGS-2DX,MechPart,1,1
mechdef_battleaxe_BKX-7KX,MechPart,1,1
mechdef_battleaxe_BKX-7NCX,MechPart,1,1
mechdef_bellerophon_BEL-1XX,MechPart,1,1
mechdef_bombardier_BMB-14CX,MechPart,1,1
mechdef_caesar_CES-3RX,MechPart,1,1
mechdef_caesar_CES-4RX,MechPart,1,1
mechdef_catapult_CPLT-C1X,MechPart,1,1
mechdef_catapult_CPLT-K2X,MechPart,1,1
mechdef_champion_CHP-1NbX,MechPart,1,1
mechdef_champion_CHP-3NX,MechPart,1,1
mechdef_dragonfire_DGR-3FX,MechPart,1,1
mechdef_dragon_DRG-1NX,MechPart,1,1
mechdef_excalibur_EXC-B2bX,MechPart,1,1
mechdef_guillotine_GLT-3NESPX,MechPart,1,1
mechdef_guillotine_GLT-3NX,MechPart,1,1
mechdef_hammerhands_HMH-3DX,MechPart,1,1
mechdef_hammerhands_HMH-4DX,MechPart,1,1
mechdef_hector_HOR-1BX,MechPart,1,1
mechdef_hector_HOR-1CX,MechPart,1,1
mechdef_helios_HEL-3DX,MechPart,1,1
mechdef_jinggau_JN-G8AX,MechPart,1,1
mechdef_koschei_KSC-3IX,MechPart,1,1
mechdef_koschei_KSC-3LX,MechPart,1,1
mechdef_liberty_LBT-ODX,MechPart,1,1
mechdef_liberty_LBT-OX,MechPart,1,1
mechdef_merlin_MLN-1AX,MechPart,1,1
mechdef_merlin_MLN-1PX,MechPart,1,1
mechdef_ostroc_OSR-2MX,MechPart,1,1
mechdef_ostwar_OWR-2MX,MechPart,1,1
mechdef_ostwar_OWR-3MX,MechPart,1,1
mechdef_penetrator_PTR-4DX,MechPart,1,1
mechdef_penetrator_PTR-4FX,MechPart,1,1
mechdef_quickdraw_QKD-5KX,MechPart,1,1
mechdef_quickdraw_QKD-8KX,MechPart,1,1
mechdef_rakshasa_MDG-1AX,MechPart,1,1
mechdef_rifleman_RFL-3MX,MechPart,1,1
mechdef_roughneck_RGH-1AX,MechPart,1,1
mechdef_roughneck_RGH-2AX,MechPart,1,1
mechdef_roughneck_RGH-3AX,MechPart,1,1
mechdef_shootist_ST-8AX,MechPart,1,1
mechdef_shootist_ST-9CX,MechPart,1,1
mechdef_thunder_THR-1LX,MechPart,1,1
mechdef_tolson_TOL-5NbX,MechPart,1,1
mechdef_tolson_TOL-5NX,MechPart,1,1
mechdef_tomahawk_THK-7MX,MechPart,1,1
mechdef_valkyrieii_VLK-II-1AX,MechPart,1,1
mechdef_valkyrieii_VLK-II-2AX,MechPart,1,1
mechdef_lancelot_LNC25-01-XX,MechPart,1,1
mechdef_lancelot_LNC25-01X,MechPart,1,1
