itemCollection_fp_eae_ef_medheavymechs,type,qty,weight
mechdef_archer_ARC-2RX1,Mech,1,1
mechdef_archer_ARC-2SX1,Mech,1,1
mechdef_assassin_ASN-101X,Mech,1,1
mechdef_blackjack_BJ-1X,Mech,1,1
mechdef_blackknight_BL-6-KNTX1,Mech,1,1
mechdef_blackknight_BL-6b-KNTX,Mech,1,1
mechdef_cataphract_CTF-1XA,Mech,1,1
mechdef_cataphract_CTF-1XB,Mech,1,1
mechdef_centurion_CN9-ALX1,Mech,1,1
mechdef_crab_CRB-27bX,Mech,1,1
mechdef_enforcer_ENF-4RX1,Mech,1,1
mechdef_granddragon_DRG-1GX,Mech,1,1
mechdef_grasshopper_GHR-5HX,Mech,1,1
mechdef_griffin_GRF-1SX,Mech,1,1
mechdef_griffin_GRF-4NX,Mech,1,1
mechdef_hatchetman_HCT-3FX1,Mech,1,1
mechdef_hunchback_HBK-4PX,Mech,1,1
mechdef_jagermech_JM6-SX,Mech,1,1
mechdef_jagermech_JM6-SX2,Mech,1,1
mechdef_kintaro_KTO-18X1,Mech,1,1
mechdef_kintaro_KTO-18X2,Mech,1,1
mechdef_marauder_MAD-2RX,Mech,1,1
mechdef_marauder_MAD-3RX1,Mech,1,1
mechdef_orion_ON1-VX1,Mech,1,1
mechdef_orion_ON1-VX2,Mech,1,1
mechdef_phoenixhawk_PXH-1bX,Mech,1,1
mechdef_quickdraw_QKD-4GX,Mech,1,1
mechdef_shadowhawk_SHD-2DX1,Mech,1,1
mechdef_thunderbolt_TDR-5SX,Mech,1,1
mechdef_vulcan_VL-5TX,Mech,1,1
mechdef_warhammer_WHM-6RX1,Mech,1,1
mechdef_warhammer_WHM-7AX,Mech,1,1
mechdef_wolverine_WVR-6KX1,Mech,1,1
mechdef_anvil_ANV-3MX,Mech,1,1
mechdef_anvil_ANV-5MX,Mech,1,1
mechdef_apollo_APL-3TX,Mech,1,1
mechdef_argus_AGS-2DX,Mech,1,1
mechdef_assassin_ASN-26X,Mech,1,1
mechdef_assassin_ASN-27X,Mech,1,1
mechdef_battleaxe_BKX-7KX,Mech,1,1
mechdef_battleaxe_BKX-7NCX,Mech,1,1
mechdef_bellerophon_BEL-1XX,Mech,1,1
mechdef_blitzkrieg_BTZ-3FX,Mech,1,1
mechdef_bombardier_BMB-14CX,Mech,1,1
mechdef_caesar_CES-3RX,Mech,1,1
mechdef_caesar_CES-4RX,Mech,1,1
mechdef_catapult_CPLT-C1X,Mech,1,1
mechdef_catapult_CPLT-K2X,Mech,1,1
mechdef_chameleon_CLN-8VX,Mech,1,1
mechdef_champion_CHP-1NbX,Mech,1,1
mechdef_champion_CHP-3NX,Mech,1,1
mechdef_chimera_CMA-1SX,Mech,1,1
mechdef_clint_CLNT-2-3TX,Mech,1,1
mechdef_clint_CLNT-2-3UX,Mech,1,1
mechdef_crab_CRB-27slX,Mech,1,1
mechdef_dervish_DV-6MdX,Mech,1,1
mechdef_dragonfire_DGR-3FX,Mech,1,1
mechdef_dragon_DRG-1NX,Mech,1,1
mechdef_enfield_END-6QX,Mech,1,1
mechdef_excalibur_EXC-B2bX,Mech,1,1
mechdef_gladiator_GLD-3RX,Mech,1,1
mechdef_gladiator_GLD-4RX,Mech,1,1
mechdef_guillotine_GLT-3NESPX,Mech,1,1
mechdef_guillotine_GLT-3NX,Mech,1,1
mechdef_hammerhands_HMH-3DX,Mech,1,1
mechdef_hammerhands_HMH-4DX,Mech,1,1
mechdef_hector_HOR-1BX,Mech,1,1
mechdef_hector_HOR-1CX,Mech,1,1
mechdef_helios_HEL-3DX,Mech,1,1
mechdef_hoplite_HOP-4CX,Mech,1,1
mechdef_hoplite_HOP-4DX,Mech,1,1
mechdef_icarusii_ICR-1SX,Mech,1,1
mechdef_icarusii_ICR-2SX,Mech,1,1
mechdef_jinggau_JN-G8AX,Mech,1,1
mechdef_komodo_KIM-2X,Mech,1,1
mechdef_koschei_KSC-3IX,Mech,1,1
mechdef_koschei_KSC-3LX,Mech,1,1
mechdef_kyudo_KY2-D-02X,Mech,1,1
mechdef_kyudo_KY2-D-03X,Mech,1,1
mechdef_liberty_LBT-ODX,Mech,1,1
mechdef_liberty_LBT-OX,Mech,1,1
mechdef_lynx_LNX-9QX,Mech,1,1
mechdef_merlin_MLN-1AX,Mech,1,1
mechdef_merlin_MLN-1PX,Mech,1,1
mechdef_osprey_OSP-15X,Mech,1,1
mechdef_ostroc_OSR-2MX,Mech,1,1
mechdef_ostwar_OWR-2MX,Mech,1,1
mechdef_ostwar_OWR-3MX,Mech,1,1
mechdef_penetrator_PTR-4DX,Mech,1,1
mechdef_penetrator_PTR-4FX,Mech,1,1
mechdef_quickdraw_QKD-5KX,Mech,1,1
mechdef_quickdraw_QKD-8KX,Mech,1,1
mechdef_rakshasa_MDG-1AX,Mech,1,1
mechdef_rifleman_RFL-3MX,Mech,1,1
mechdef_roughneck_RGH-1AX,Mech,1,1
mechdef_roughneck_RGH-2AX,Mech,1,1
mechdef_roughneck_RGH-3AX,Mech,1,1
mechdef_sentinel_STN-3LbX,Mech,1,1
mechdef_sentinel_STN-3LX,Mech,1,1
mechdef_shayu_SYU-2BX,Mech,1,1
mechdef_shootist_ST-8AX,Mech,1,1
mechdef_shootist_ST-9CX,Mech,1,1
mechdef_starslayer_STY-2CX,Mech,1,1
mechdef_starslayer_STY-3CX,Mech,1,1
mechdef_strider_SR1-0BX,Mech,1,1
mechdef_strider_SR1-0FX,Mech,1,1
mechdef_strider_SR1-0X,Mech,1,1
mechdef_swordsman_SWD-2X,Mech,1,1
mechdef_thunder_THR-1LX,Mech,1,1
mechdef_tolson_TOL-5NbX,Mech,1,1
mechdef_tolson_TOL-5NX,Mech,1,1
mechdef_tomahawk_THK-7MX,Mech,1,1
mechdef_trebuchet_TBT-5NX,Mech,1,1
mechdef_valkyrieii_VLK-II-1AX,Mech,1,1
