itemCollection_fp_eae_ef_medmechs,type,qty,weight
mechdef_assassin_ASN-101X,Mech,1,1
mechdef_blackjack_BJ-1X,Mech,1,1
mechdef_centurion_CN9-ALX1,Mech,1,1
mechdef_crab_CRB-27bX,Mech,1,1
mechdef_enforcer_ENF-4RX1,Mech,1,1
mechdef_griffin_GRF-1SX,Mech,1,1
mechdef_griffin_GRF-4NX,Mech,1,1
mechdef_hatchetman_HCT-3FX1,Mech,1,1
mechdef_hunchback_HBK-4PX,Mech,1,1
mechdef_kintaro_KTO-18X1,Mech,1,1
mechdef_kintaro_KTO-18X2,Mech,1,1
mechdef_phoenixhawk_PXH-1bX,Mech,1,1
mechdef_shadowhawk_SHD-2DX1,Mech,1,1
mechdef_vulcan_VL-5TX,Mech,1,1
mechdef_wolverine_WVR-6KX1,Mech,1,1
mechdef_apollo_APL-3TX,Mech,1,1
mechdef_assassin_ASN-26X,Mech,1,1
mechdef_assassin_ASN-27X,Mech,1,1
mechdef_blitzkrieg_BTZ-3FX,Mech,1,1
mechdef_chameleon_CLN-8VX,Mech,1,1
mechdef_chimera_CMA-1SX,Mech,1,1
mechdef_clint_CLNT-2-3TX,Mech,1,1
mechdef_clint_CLNT-2-3UX,Mech,1,1
mechdef_crab_CRB-27slX,Mech,1,1
mechdef_dervish_DV-6MdX,Mech,1,1
mechdef_enfield_END-6QX,Mech,1,1
mechdef_gladiator_GLD-3RX,Mech,1,1
mechdef_gladiator_GLD-4RX,Mech,1,1
mechdef_hoplite_HOP-4CX,Mech,1,1
mechdef_hoplite_HOP-4DX,Mech,1,1
mechdef_icarusii_ICR-1SX,Mech,1,1
mechdef_icarusii_ICR-2SX,Mech,1,1
mechdef_komodo_KIM-2X,Mech,1,1
mechdef_kyudo_KY2-D-02X,Mech,1,1
mechdef_kyudo_KY2-D-03X,Mech,1,1
mechdef_lynx_LNX-9QX,Mech,1,1
mechdef_osprey_OSP-15X,Mech,1,1
mechdef_sentinel_STN-3LbX,Mech,1,1
mechdef_sentinel_STN-3LX,Mech,1,1
mechdef_shayu_SYU-2BX,Mech,1,1
mechdef_starslayer_STY-2CX,Mech,1,1
mechdef_starslayer_STY-3CX,Mech,1,1
mechdef_strider_SR1-0BX,Mech,1,1
mechdef_strider_SR1-0FX,Mech,1,1
mechdef_strider_SR1-0X,Mech,1,1
mechdef_swordsman_SWD-2X,Mech,1,1
mechdef_trebuchet_TBT-5NX,Mech,1,1
mechdef_whitworth_WTH-1SX,Mech,1,1
mechdef_whitworth_WTH-1X,Mech,1,1
mechdef_wraith_TR-1X,Mech,1,1
mechdef_wyvern_WVE-5NbX,Mech,1,1
mechdef_wyvern_WVE-9NX,Mech,1,1
