itemCollection_fp_eae_lightparts,type,qty,weight
mechdef_commando_COM-1B,MechPart,1,1
mechdef_commando_COM-2D,MechPart,1,1
mechdef_firestarter_FS9-H,MechPart,1,1
mechdef_flea_FLE-15,MechPart,1,1
mechdef_flea_FLE-4,MechPart,1,1
mechdef_javelin_JVN-10A,MechPart,1,1
mechdef_javelin_JVN-10F,MechPart,1,1
mechdef_javelin_JVN-10N,MechPart,1,1
mechdef_jenner_JR7-D,MechPart,1,1
mechdef_locust_LCT-1E,MechPart,1,1
mechdef_locust_LCT-1M,MechPart,1,1
mechdef_locust_LCT-1S,MechPart,1,1
mechdef_locust_LCT-1V,MechPart,1,1
mechdef_panther_PNT-9R,MechPart,1,1
mechdef_panther_TARGETDUMMY,MechPart,1,1
mechdef_raven_RVN-1X,MechPart,1,1
mechdef_raven_RVN-3X,MechPart,1,1
mechdef_spider_SDR-5K,MechPart,1,1
mechdef_spider_SDR-5V,MechPart,1,1
mechdef_urbanmech_TESTDUMMY,MechPart,1,1
mechdef_urbanmech_UM-R60,MechPart,1,1
mechdef_urbanmech_UM-R60L,MechPart,1,1
mechdef_urbanmech_UM-R90,MechPart,1,1
mechdef_anubis_ABS-3L,MechPart,1,1
mechdef_anubis_ABS-3T,MechPart,1,1
mechdef_cephalus_CEP-D,MechPart,1,1
mechdef_cephalus_CEP-E,MechPart,1,1
mechdef_commando_COM-1C,MechPart,1,1
mechdef_commando_COM-1D,MechPart,1,1
mechdef_commando_COM-2D-BI,MechPart,1,1
mechdef_commando_COM-3A,MechPart,1,1
mechdef_commando_COM-J,MechPart,1,1
mechdef_firebee_FRB-2E,MechPart,1,1
mechdef_firestarter_FS9-A,MechPart,1,1
mechdef_firestarter_FS9-K,MechPart,1,1
mechdef_firestarter_FS9-M,MechPart,1,1
mechdef_flea_FLE-14,MechPart,1,1
mechdef_flea_FLE-16,MechPart,1,1
mechdef_hollander_BZK-F3,MechPart,1,1
mechdef_hollander_BZK-G1,MechPart,1,1
mechdef_hornet_HNT-151,MechPart,1,1
mechdef_hussar_HSR-200-D,MechPart,1,1
mechdef_hussar_HSR-200-Db,MechPart,1,1
