itemCollection_fp_eae_medheavymechs,type,qty,weight
mechdef_archer_ARC-2R,Mech,1,1
mechdef_archer_ARC-2S,Mech,1,1
mechdef_archer_ARC-LS,Mech,1,1
mechdef_archer_ARC-XO,Mech,1,1
mechdef_assassin_ASN-101,Mech,1,1
mechdef_assassin_ASN-21,Mech,1,1
mechdef_blackjack_BJ-1,Mech,1,1
mechdef_blackjack_BJ-1DB,Mech,1,1
mechdef_blackknight_BL-6-KNT,Mech,1,1
mechdef_blackknight_BL-6b-KNT,Mech,1,1
mechdef_cataphract_CTF-0X,Mech,1,1
mechdef_cataphract_CTF-1X,Mech,1,1
mechdef_catapult_CPLT-C1,Mech,1,1
mechdef_catapult_CPLT-C4,Mech,1,1
mechdef_catapult_CPLT-K2,Mech,1,1
mechdef_centurion_CN9-A,Mech,1,1
mechdef_centurion_CN9-AL,Mech,1,1
mechdef_centurion_TARGETDUMMY,Mech,1,1
mechdef_cicada_CDA-2A,Mech,1,1
mechdef_cicada_CDA-3C,Mech,1,1
mechdef_crab_CRB-27,Mech,1,1
mechdef_crab_CRB-27b,Mech,1,1
mechdef_crab__fp_gladiator_BSC-27,Mech,1,1
mechdef_dragon_DRG-1N,Mech,1,1
mechdef_enforcer_ENF-4R,Mech,1,1
mechdef_granddragon_DRG-1G,Mech,1,1
mechdef_grasshopper_GHR-5H,Mech,1,1
mechdef_griffin_GRF-1N,Mech,1,1
mechdef_griffin_GRF-1S,Mech,1,1
mechdef_griffin_GRF-4N,Mech,1,1
mechdef_hatchetman_HCT-3F,Mech,1,1
mechdef_hatchetman_HCT-3X,Mech,1,1
mechdef_hunchback_HBK-4G,Mech,1,1
mechdef_hunchback_HBK-4P,Mech,1,1
mechdef_jagermech_JM6-A,Mech,1,1
mechdef_jagermech_JM6-S,Mech,1,1
mechdef_kintaro_KTO-18,Mech,1,1
mechdef_marauder_MAD-2R,Mech,1,1
mechdef_marauder_MAD-3D,Mech,1,1
mechdef_marauder_MAD-3R,Mech,1,1
mechdef_marauder_MAD-BH,Mech,1,1
mechdef_marauder_MAD-CM,Mech,1,1
mechdef_orion_ON1-K,Mech,1,1
mechdef_orion_ON1-V,Mech,1,1
mechdef_phoenixhawk_PXH-1,Mech,1,1
mechdef_phoenixhawk_PXH-1b,Mech,1,1
mechdef_phoenixhawk_PXH-1K,Mech,1,1
mechdef_quickdraw_QKD-4G,Mech,1,1
mechdef_quickdraw_QKD-5A,Mech,1,1
mechdef_rifleman_RFL-3C,Mech,1,1
mechdef_rifleman_RFL-3N,Mech,1,1
mechdef_rifleman_RFL-4D,Mech,1,1
mechdef_rifleman_RFL-RIP,Mech,1,1
mechdef_shadowhawk_SHD-2D,Mech,1,1
mechdef_shadowhawk_SHD-2H,Mech,1,1
mechdef_thunderbolt_TDR-5S,Mech,1,1
mechdef_thunderbolt_TDR-5SE,Mech,1,1
mechdef_thunderbolt_TDR-5SS,Mech,1,1
mechdef_trebuchet_TBT-5N,Mech,1,1
mechdef_trebuchet_TBT-7K,Mech,1,1
mechdef_vindicator_VND-1AA,Mech,1,1
mechdef_vindicator_VND-1R,Mech,1,1
mechdef_vulcan_VL-2T,Mech,1,1
mechdef_vulcan_VL-5T,Mech,1,1
mechdef_warhammer_WHM-6D,Mech,1,1
mechdef_warhammer_WHM-6R,Mech,1,1
mechdef_warhammer_WHM-7A,Mech,1,1
mechdef_warhammer_WHM-BW,Mech,1,1
mechdef_wolverine_WVR-6K,Mech,1,1
mechdef_wolverine_WVR-6R,Mech,1,1
mechdef_archer_ARC-2K,Mech,1,1
mechdef_archer_ARC-2W,Mech,1,1
mechdef_argus_AGS-2D,Mech,1,1
mechdef_argus_AGS-5D,Mech,1,1
mechdef_assassin_ASN-SB,Mech,1,1
mechdef_avatar_AV1-0,Mech,1,1
mechdef_avatar_AV1-OA,Mech,1,1
mechdef_avatar_AV1-OB,Mech,1,1
mechdef_avatar_AV1-OH,Mech,1,1
mechdef_axman_AXM-1N,Mech,1,1
mechdef_axman_AXM-2N,Mech,1,1
mechdef_blackjack_BJ-1DC,Mech,1,1
mechdef_blackjack_BJ-1X,Mech,1,1
mechdef_blackjack_BJ-3,Mech,1,1
mechdef_blackjack_BJ-3X,Mech,1,1
mechdef_blackknight_BL-7-KNT-L,Mech,1,1
mechdef_blackknight_BL-7-KNT,Mech,1,1
mechdef_blitzkrieg_BTZ-3F,Mech,1,1
mechdef_bombard_BMB-010,Mech,1,1
mechdef_bushwacker_BWS-L1,Mech,1,1
mechdef_bushwacker_BWS-X1,Mech,1,1
mechdef_bushwacker_BWS-X2,Mech,1,1
mechdef_cataphract_CTF-2X,Mech,1,1
mechdef_cataphract_CTF-3L,Mech,1,1
mechdef_cataphract_CTF-4X,Mech,1,1
