itemCollection_fp_eae_medmechs,type,qty,weight
mechdef_assassin_ASN-101,Mech,1,1
mechdef_assassin_ASN-21,Mech,1,1
mechdef_blackjack_BJ-1,Mech,1,1
mechdef_blackjack_BJ-1DB,Mech,1,1
mechdef_centurion_CN9-A,Mech,1,1
mechdef_centurion_CN9-AL,Mech,1,1
mechdef_centurion_TARGETDUMMY,Mech,1,1
mechdef_cicada_CDA-2A,Mech,1,1
mechdef_cicada_CDA-3C,Mech,1,1
mechdef_crab_CRB-27,Mech,1,1
mechdef_crab_CRB-27b,Mech,1,1
mechdef_crab__fp_gladiator_BSC-27,Mech,1,1
mechdef_enforcer_ENF-4R,Mech,1,1
mechdef_griffin_GRF-1N,Mech,1,1
mechdef_griffin_GRF-1S,Mech,1,1
mechdef_griffin_GRF-4N,Mech,1,1
mechdef_hatchetman_HCT-3F,Mech,1,1
mechdef_hatchetman_HCT-3X,Mech,1,1
mechdef_hunchback_HBK-4G,Mech,1,1
mechdef_hunchback_HBK-4P,Mech,1,1
mechdef_kintaro_KTO-18,Mech,1,1
mechdef_phoenixhawk_PXH-1,Mech,1,1
mechdef_phoenixhawk_PXH-1b,Mech,1,1
mechdef_phoenixhawk_PXH-1K,Mech,1,1
mechdef_shadowhawk_SHD-2D,Mech,1,1
mechdef_shadowhawk_SHD-2H,Mech,1,1
mechdef_trebuchet_TBT-5N,Mech,1,1
mechdef_trebuchet_TBT-7K,Mech,1,1
mechdef_vindicator_VND-1AA,Mech,1,1
mechdef_vindicator_VND-1R,Mech,1,1
mechdef_vulcan_VL-2T,Mech,1,1
mechdef_vulcan_VL-5T,Mech,1,1
mechdef_wolverine_WVR-6K,Mech,1,1
mechdef_wolverine_WVR-6R,Mech,1,1
mechdef_assassin_ASN-SB,Mech,1,1
mechdef_blackjack_BJ-1DC,Mech,1,1
mechdef_blackjack_BJ-1X,Mech,1,1
mechdef_blackjack_BJ-3,Mech,1,1
mechdef_blackjack_BJ-3X,Mech,1,1
mechdef_blitzkrieg_BTZ-3F,Mech,1,1
mechdef_bombard_BMB-010,Mech,1,1
mechdef_bushwacker_BWS-L1,Mech,1,1
mechdef_bushwacker_BWS-X1,Mech,1,1
mechdef_bushwacker_BWS-X2,Mech,1,1
mechdef_centurion_CN9-AH,Mech,1,1
mechdef_cicada_CDA-2B,Mech,1,1
mechdef_clint_CLNT-1-2R,Mech,1,1
mechdef_clint_CLNT-2-3T,Mech,1,1
mechdef_crab_CRB-20,Mech,1,1
mechdef_dervish_DV-6M,Mech,1,1
mechdef_dervish_DV-7D,Mech,1,1
mechdef_enforcer_ENF-3R,Mech,1,1
mechdef_griffin_GRF-3M,Mech,1,1
mechdef_hatchetman_HCT-3G,Mech,1,1
mechdef_hatchetman_HCT-3K,Mech,1,1
mechdef_hatchetman_HCT-3NH,Mech,1,1
mechdef_hellspawn_HSN-7D,Mech,1,1
mechdef_hellspawn_HSN-8E,Mech,1,1
mechdef_hunchback_HBK-4H,Mech,1,1
mechdef_hunchback_HBK-4J,Mech,1,1
mechdef_hunchback_HBK-4N,Mech,1,1
mechdef_hunchback_HBK-4SP,Mech,1,1
mechdef_huronw_HUR-WO-R4L,Mech,1,1
mechdef_huronw_HUR-WO-R4N,Mech,1,1
mechdef_huronw_HUR-WO-R4X,Mech,1,1
mechdef_icarusii_ICR-1S,Mech,1,1
mechdef_kintaro_KTO-20,Mech,1,1
mechdef_osprey_OSP-15,Mech,1,1
mechdef_phoenixhawk_PXH-1D,Mech,1,1
mechdef_phoenixhawk_PXH-9,Mech,1,1
mechdef_preta_C-PRT-OA_dominus,Mech,1,1
mechdef_preta_C-PRT-O_invictus,Mech,1,1
mechdef_shadowhawk_SHD-2K,Mech,1,1
