itemCollection_fp_eae_medparts,type,qty,weight
mechdef_assassin_ASN-101,MechPart,1,1
mechdef_assassin_ASN-21,MechPart,1,1
mechdef_blackjack_BJ-1,MechPart,1,1
mechdef_blackjack_BJ-1DB,MechPart,1,1
mechdef_centurion_CN9-A,MechPart,1,1
mechdef_centurion_CN9-AL,MechPart,1,1
mechdef_centurion_TARGETDUMMY,MechPart,1,1
mechdef_cicada_CDA-2A,MechPart,1,1
mechdef_cicada_CDA-3C,MechPart,1,1
mechdef_crab_CRB-27,MechPart,1,1
mechdef_crab_CRB-27b,MechPart,1,1
mechdef_crab__fp_gladiator_BSC-27,MechPart,1,1
mechdef_enforcer_ENF-4R,MechPart,1,1
mechdef_griffin_GRF-1N,MechPart,1,1
mechdef_griffin_GRF-1S,MechPart,1,1
mechdef_griffin_GRF-4N,MechPart,1,1
mechdef_hatchetman_HCT-3F,MechPart,1,1
mechdef_hatchetman_HCT-3X,MechPart,1,1
mechdef_hunchback_HBK-4G,MechPart,1,1
mechdef_hunchback_HBK-4P,MechPart,1,1
mechdef_kintaro_KTO-18,MechPart,1,1
mechdef_phoenixhawk_PXH-1,MechPart,1,1
mechdef_phoenixhawk_PXH-1b,MechPart,1,1
mechdef_phoenixhawk_PXH-1K,MechPart,1,1
mechdef_shadowhawk_SHD-2D,MechPart,1,1
mechdef_shadowhawk_SHD-2H,MechPart,1,1
mechdef_trebuchet_TBT-5N,MechPart,1,1
mechdef_trebuchet_TBT-7K,MechPart,1,1
mechdef_vindicator_VND-1AA,MechPart,1,1
mechdef_vindicator_VND-1R,MechPart,1,1
mechdef_vulcan_VL-2T,MechPart,1,1
mechdef_vulcan_VL-5T,MechPart,1,1
mechdef_wolverine_WVR-6K,MechPart,1,1
mechdef_wolverine_WVR-6R,MechPart,1,1
mechdef_assassin_ASN-SB,MechPart,1,1
mechdef_blackjack_BJ-1DC,MechPart,1,1
mechdef_blackjack_BJ-1X,MechPart,1,1
mechdef_blackjack_BJ-3,MechPart,1,1
mechdef_blackjack_BJ-3X,MechPart,1,1
mechdef_blitzkrieg_BTZ-3F,MechPart,1,1
mechdef_bombard_BMB-010,MechPart,1,1
mechdef_bushwacker_BWS-L1,MechPart,1,1
mechdef_bushwacker_BWS-X1,MechPart,1,1
mechdef_bushwacker_BWS-X2,MechPart,1,1
mechdef_centurion_CN9-AH,MechPart,1,1
mechdef_cicada_CDA-2B,MechPart,1,1
mechdef_clint_CLNT-1-2R,MechPart,1,1
mechdef_clint_CLNT-2-3T,MechPart,1,1
mechdef_crab_CRB-20,MechPart,1,1
mechdef_dervish_DV-6M,MechPart,1,1
mechdef_dervish_DV-7D,MechPart,1,1
mechdef_enforcer_ENF-3R,MechPart,1,1
mechdef_griffin_GRF-3M,MechPart,1,1
mechdef_hatchetman_HCT-3G,MechPart,1,1
mechdef_hatchetman_HCT-3K,MechPart,1,1
mechdef_hatchetman_HCT-3NH,MechPart,1,1
mechdef_hellspawn_HSN-7D,MechPart,1,1
mechdef_hellspawn_HSN-8E,MechPart,1,1
mechdef_hunchback_HBK-4H,MechPart,1,1
mechdef_hunchback_HBK-4J,MechPart,1,1
mechdef_hunchback_HBK-4N,MechPart,1,1
mechdef_hunchback_HBK-4SP,MechPart,1,1
mechdef_huronw_HUR-WO-R4L,MechPart,1,1
mechdef_huronw_HUR-WO-R4N,MechPart,1,1
mechdef_huronw_HUR-WO-R4X,MechPart,1,1
mechdef_icarusii_ICR-1S,MechPart,1,1
mechdef_kintaro_KTO-20,MechPart,1,1
mechdef_osprey_OSP-15,MechPart,1,1
mechdef_phoenixhawk_PXH-1D,MechPart,1,1
mechdef_phoenixhawk_PXH-9,MechPart,1,1
mechdef_preta_C-PRT-OA_dominus,MechPart,1,1
mechdef_preta_C-PRT-O_invictus,MechPart,1,1
mechdef_shadowhawk_SHD-2K,MechPart,1,1
mechdef_shadowhawk_SHD-3H,MechPart,1,1
mechdef_shadowhawk_SHD-3K,MechPart,1,1
mechdef_shadowhawk_SHD-5M,MechPart,1,1
mechdef_strider_SR1-0,MechPart,1,1
mechdef_talos_TLS-1B,MechPart,1,1
mechdef_trebuchet_TBT-5J,MechPart,1,1
mechdef_trebuchet_TBT-5S,MechPart,1,1
mechdef_uziel_UZL-2S,MechPart,1,1
mechdef_uziel_UZL-3S,MechPart,1,1
mechdef_vindicator_VND-1SIC,MechPart,1,1
