itemCollection_fp_eae_ea_heavyasltmechs,type,qty,weight
mechdef_banex_BAN-X,Mech,1,1
mechdef_bloodaspx_BAS-X,Mech,1,1
mechdef_direwolfx_DWF-X1,Mech,1,1
mechdef_direwolfx_DWF-X2,Mech,1,1
mechdef_ebonjaguarx_EBJ-X,Mech,1,1
mechdef_executionerx_EXE-X,Mech,1,1
mechdef_gargoylex_GAR-X,Mech,1,1
mechdef_hellbringerx_HBR-X,Mech,1,1
mechdef_hellbringerx_HBR-X2,Mech,1,1
mechdef_hellfirex_HLF-X1,Mech,1,1
mechdef_hellfirex_HLF-X2,Mech,1,1
mechdef_highlanderx_HGN-CX,Mech,1,1
mechdef_kodiakx_KDK-X,Mech,1,1
mechdef_madcatmkiix_MCII-X,Mech,1,1
mechdef_madcatx_MC-X,Mech,1,1
mechdef_madcatx_MC-X2,Mech,1,1
mechdef_maddogx_MDD-X,Mech,1,1
mechdef_maddogx_MDD-X2,Mech,1,1
mechdef_marauderiicx_MAD-IIC-X,Mech,1,1
mechdef_nightgyrx_NTG-X,Mech,1,1
mechdef_orionx_ON1-CX,Mech,1,1
mechdef_osteonx_OS-X1,Mech,1,1
mechdef_osteonx_OS-X2,Mech,1,1
mechdef_riflemaniicx_RFL-CX,Mech,1,1
mechdef_stonerhinox_STR-X,Mech,1,1
mechdef_summonerx_SMN-X1,Mech,1,1
mechdef_summonerx_SMN-X2,Mech,1,1
mechdef_sunspiderx_SNS-X1,Mech,1,1
mechdef_sunspiderx_SNS-X2,Mech,1,1
mechdef_sunspiderx_SNS-X3,Mech,1,1
mechdef_supernovax_SNV-X1,Mech,1,1
mechdef_supernovax_SNV-X2,Mech,1,1
mechdef_turkinax_TKN-X,Mech,1,1
mechdef_warhammerx_WHM-IIC-X,Mech,1,1
mechdef_warhawkx_WHK-X,Mech,1,1
mechdef_annihilatorx_ANH-EX,Mech,1,1
mechdef_archerx_ARC-RX,Mech,1,1
mechdef_archerx_ARC-SX,Mech,1,1
mechdef_argusx_AGS-X,Mech,1,1
mechdef_atlasx_AS7-X,Mech,1,1
mechdef_axmanx_AXM-X,Mech,1,1
mechdef_bansheex_BNC-X,Mech,1,1
mechdef_bansheex_BNC-X2,Mech,1,1
mechdef_blackknightx_BL-KNT-X,Mech,1,1
mechdef_corsairx_COR-X,Mech,1,1
mechdef_crusaderx_CRD-X,Mech,1,1
mechdef_crusaderx_CRD-X2,Mech,1,1
mechdef_fafnirx_FNR-X,Mech,1,1
mechdef_kingcrabx_KGC-X,Mech,1,1
mechdef_laohux_LHU-X,Mech,1,1
mechdef_longbowx_LGB-X1,Mech,1,1
mechdef_longbowx_LGB-X2,Mech,1,1
mechdef_longbowx_LGB-X3,Mech,1,1
mechdef_longbowx_LGB-X4,Mech,1,1
mechdef_marauderIIx_MAD-AX,Mech,1,1
mechdef_marauderIIx_MAD-BX,Mech,1,1
mechdef_marauderx_MAD-X1,Mech,1,1
mechdef_marauderx_MAD-X2,Mech,1,1
mechdef_marauderx_MAD-X3,Mech,1,1
mechdef_maulerx_MAL-X,Mech,1,1
mechdef_ostwarx_OWR-X,Mech,1,1
mechdef_riflemanx_RFL-X,Mech,1,1
mechdef_thanatosx_TNS-X,Mech,1,1
mechdef_thunderboltx_TDR-X,Mech,1,1
mechdef_warhammerx_WHM-X,Mech,1,1
mechdef_zeusx_ZEU-XX,Mech,1,1
mechdef_zeusx_ZEU-YX,Mech,1,1
mechdef_archangelx_C-ANG-X,Mech,1,1
mechdef_archangelx_C-ANG-X2,Mech,1,1
mechdef_archangelx_C-ANG-X3,Mech,1,1
mechdef_devax_C-DVA-X1,Mech,1,1
mechdef_devax_C-DVA-X2,Mech,1,1
mechdef_devax_C-DVA-X3,Mech,1,1
mechdef_grigorix_C-GRG-X1,Mech,1,1
mechdef_grigorix_C-GRG-X2,Mech,1,1
mechdef_seraphx_C-SRP-X1,Mech,1,1
mechdef_seraphx_C-SRP-X2,Mech,1,1
mechdef_seraphx_C-SRP-X3,Mech,1,1
mechdef_albatross_ALB-X1,Mech,1,1
mechdef_albatross_ALB-X2,Mech,1,1
mechdef_annihilator_ANH-X1,Mech,1,1
mechdef_annihilator_ANH-X2,Mech,1,1
mechdef_annihilator_ANH-X3,Mech,1,1
mechdef_anvil_ANV-X,Mech,1,1
mechdef_anvil_ANV-X2,Mech,1,1
mechdef_argus_AGS-X2,Mech,1,1
mechdef_atlas_AS7-D3X,Mech,1,1
mechdef_avatar_AV1-X,Mech,1,1
mechdef_avatar_AV1-X2,Mech,1,1
mechdef_avatar_AV1-X3,Mech,1,1
mechdef_awesome_AWS-X,Mech,1,1
mechdef_axman_AXM-X2,Mech,1,1
mechdef_balar_BA1-X1,Mech,1,1
mechdef_balar_BA1-X2,Mech,1,1
mechdef_battleaxe_BKX-X,Mech,1,1
mechdef_battleaxe_BKX-X2,Mech,1,1
mechdef_battlehammer_BHA-X1,Mech,1,1
mechdef_battlehammer_BHA-X2,Mech,1,1
mechdef_battlemaster_BLR-X1,Mech,1,1
mechdef_battlemaster_BLR-X2,Mech,1,1
mechdef_bellerophon_BEL-X,Mech,1,1
mechdef_berserker_BRZ-X,Mech,1,1
mechdef_berserker_BRZ-X2,Mech,1,1
mechdef_bigfoot_BFT-X1,Mech,1,1
mechdef_bigfoot_BFT-X2,Mech,1,1
mechdef_blackheart_BH-X1,Mech,1,1
mechdef_blackknight_BL-10-KNT-X2,Mech,1,1
mechdef_bombardier_BMB-X,Mech,1,1
mechdef_broadside_BS-X1,Mech,1,1
mechdef_broadside_BS-X2,Mech,1,1
mechdef_bullshark_BSK-X1,Mech,1,1
mechdef_bullshark_BSK-X2,Mech,1,1
mechdef_caesar_CES-X,Mech,1,1
mechdef_caesar_CES-X2,Mech,1,1
mechdef_carronade_CRN-X,Mech,1,1
mechdef_cataphract_CTF-X,Mech,1,1
mechdef_cataphract_CTF-X2,Mech,1,1
mechdef_catapult_CPLT-X1,Mech,1,1
mechdef_catapult_CPLT-X2,Mech,1,1
mechdef_champion_CHP-X,Mech,1,1
mechdef_champion_CHP-X2,Mech,1,1
mechdef_champion_CHP-X3,Mech,1,1
mechdef_charger_CGR-X,Mech,1,1
mechdef_coehorn_COE-X1,Mech,1,1
mechdef_coehorn_COE-X2,Mech,1,1
mechdef_corsair_COR-X2,Mech,1,1
mechdef_crockett_CRK-X1,Mech,1,1
mechdef_crockett_CRK-X2,Mech,1,1
mechdef_cyclopsii_CPII-X1,Mech,1,1
mechdef_cyclopsii_CPII-X2,Mech,1,1
mechdef_cyclopsii_CPII-X3,Mech,1,1
mechdef_cyclopsii_CPII-X4,Mech,1,1
mechdef_cyclops_CP-10-Z-DC-X,Mech,1,1
mechdef_cyclops_CP-10-Z-X,Mech,1,1
mechdef_daikyu_DAI-X1,Mech,1,1
mechdef_daikyu_DAI-X2,Mech,1,1
mechdef_diomede_D-M3D-X,Mech,1,1
mechdef_doloire_DLR-X,Mech,1,1
mechdef_doloire_DLR-X2,Mech,1,1
mechdef_dragonfire_DGR-X1,Mech,1,1
mechdef_dragonfire_DGR-X2,Mech,1,1
mechdef_dragonfire_DGR-X3,Mech,1,1
mechdef_dragon_DRG-X,Mech,1,1
mechdef_emperor_EMP-X,Mech,1,1
mechdef_emperor_EMP-X2,Mech,1,1
mechdef_excalibur_EXC-X,Mech,1,1
mechdef_excalibur_EXC-X2,Mech,1,1
mechdef_excalibur_EXC-X3,Mech,1,1
mechdef_exterminator_EXT-4D-X,Mech,1,1
mechdef_exterminator_EXT-X,Mech,1,1
mechdef_fafnir_FNR-X2,Mech,1,1
mechdef_granddragon_DRG-X,Mech,1,1
mechdef_grandtitan_T-IT-X1,Mech,1,1
mechdef_grandtitan_T-IT-X2,Mech,1,1
mechdef_grasshopper_GHR-X,Mech,1,1
mechdef_grasshopper_GHR-X2,Mech,1,1
mechdef_guillotine_GLT-X,Mech,1,1
mechdef_guillotine_GLT-X2,Mech,1,1
mechdef_gunslinger_GUN-X1,Mech,1,1
mechdef_gunslinger_GUN-X2,Mech,1,1
mechdef_hammerhands_HMH-X1,Mech,1,1
mechdef_hammerhands_HMH-X2,Mech,1,1
mechdef_hatamoto-chii_HTM-X2,Mech,1,1
mechdef_hatamoto-hi_HTM-X3,Mech,1,1
mechdef_hauptmann_HA1-X,Mech,1,1
mechdef_hauptmann_HA1-X2,Mech,1,1
mechdef_hector_HOR-X,Mech,1,1
mechdef_hector_HOR-X2,Mech,1,1
mechdef_helios_HEL-X,Mech,1,1
mechdef_helios_HEL-X2,Mech,1,1
mechdef_highlander_HGN-X,Mech,1,1
mechdef_highlander_HGN-X2,Mech,1,1
mechdef_imp_IMP-X,Mech,1,1
mechdef_imp_IMP-X2,Mech,1,1
mechdef_imp_IMP-X3,Mech,1,1
mechdef_ion_ION-X1,Mech,1,1
mechdef_ion_ION-X2,Mech,1,1
mechdef_ion_ION-X3,Mech,1,1
mechdef_jagermech_JM6-B-X,Mech,1,1
mechdef_jagermech_JM6-DD-X,Mech,1,1
mechdef_jinggau_JN-X,Mech,1,1
mechdef_jinggau_JN-X2,Mech,1,1
mechdef_jinggau_JN-X3,Mech,1,1
mechdef_jotunn_JTN-X1,Mech,1,1
mechdef_jotunn_JTN-X2,Mech,1,1
mechdef_jotunn_JTN-X3,Mech,1,1
mechdef_juggernaut_JG-X,Mech,1,1
mechdef_juggernaut_JG-X2,Mech,1,1
mechdef_kingcrabrauder_KCRD-X1,Mech,1,1
mechdef_kingcrabrauder_KCRD-X2,Mech,1,1
mechdef_kingcrab_KGC-X2,Mech,1,1
mechdef_koschei_KSC-X1,Mech,1,1
mechdef_koschei_KSC-X2,Mech,1,1
mechdef_lament_LMT-X,Mech,1,1
