itemCollection_fp_eae_ea_heavyasltparts,type,qty,weight
mechdef_banex_BAN-X,MechPart,1,1
mechdef_bloodaspx_BAS-X,MechPart,1,1
mechdef_direwolfx_DWF-X1,MechPart,1,1
mechdef_direwolfx_DWF-X2,MechPart,1,1
mechdef_ebonjaguarx_EBJ-X,MechPart,1,1
mechdef_executionerx_EXE-X,MechPart,1,1
mechdef_gargoylex_GAR-X,MechPart,1,1
mechdef_hellbringerx_HBR-X,MechPart,1,1
mechdef_hellbringerx_HBR-X2,MechPart,1,1
mechdef_hellfirex_HLF-X1,MechPart,1,1
mechdef_hellfirex_HLF-X2,MechPart,1,1
mechdef_highlanderx_HGN-CX,MechPart,1,1
mechdef_kodiakx_KDK-X,MechPart,1,1
mechdef_madcatmkiix_MCII-X,MechPart,1,1
mechdef_madcatx_MC-X,MechPart,1,1
mechdef_madcatx_MC-X2,MechPart,1,1
mechdef_maddogx_MDD-X,MechPart,1,1
mechdef_maddogx_MDD-X2,MechPart,1,1
mechdef_marauderiicx_MAD-IIC-X,MechPart,1,1
mechdef_nightgyrx_NTG-X,MechPart,1,1
mechdef_orionx_ON1-CX,MechPart,1,1
mechdef_osteonx_OS-X1,MechPart,1,1
mechdef_osteonx_OS-X2,MechPart,1,1
mechdef_riflemaniicx_RFL-CX,MechPart,1,1
mechdef_stonerhinox_STR-X,MechPart,1,1
mechdef_summonerx_SMN-X1,MechPart,1,1
mechdef_summonerx_SMN-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X1,MechPart,1,1
mechdef_sunspiderx_SNS-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X3,MechPart,1,1
mechdef_supernovax_SNV-X1,MechPart,1,1
mechdef_supernovax_SNV-X2,MechPart,1,1
mechdef_turkinax_TKN-X,MechPart,1,1
mechdef_warhammerx_WHM-IIC-X,MechPart,1,1
mechdef_warhawkx_WHK-X,MechPart,1,1
mechdef_annihilatorx_ANH-EX,MechPart,1,1
mechdef_archerx_ARC-RX,MechPart,1,1
mechdef_archerx_ARC-SX,MechPart,1,1
mechdef_argusx_AGS-X,MechPart,1,1
mechdef_atlasx_AS7-X,MechPart,1,1
mechdef_axmanx_AXM-X,MechPart,1,1
mechdef_bansheex_BNC-X,MechPart,1,1
mechdef_bansheex_BNC-X2,MechPart,1,1
mechdef_blackknightx_BL-KNT-X,MechPart,1,1
mechdef_corsairx_COR-X,MechPart,1,1
