itemCollection_fp_eae_ea_heavymechs,type,qty,weight
mechdef_ebonjaguarx_EBJ-X,Mech,1,1
mechdef_hellbringerx_HBR-X,Mech,1,1
mechdef_hellbringerx_HBR-X2,Mech,1,1
mechdef_hellfirex_HLF-X1,Mech,1,1
mechdef_hellfirex_HLF-X2,Mech,1,1
mechdef_madcatx_MC-X,Mech,1,1
mechdef_madcatx_MC-X2,Mech,1,1
mechdef_maddogx_MDD-X,Mech,1,1
mechdef_maddogx_MDD-X2,Mech,1,1
mechdef_nightgyrx_NTG-X,Mech,1,1
mechdef_orionx_ON1-CX,Mech,1,1
mechdef_riflemaniicx_RFL-CX,Mech,1,1
mechdef_summonerx_SMN-X1,Mech,1,1
mechdef_summonerx_SMN-X2,Mech,1,1
mechdef_sunspiderx_SNS-X1,Mech,1,1
mechdef_sunspiderx_SNS-X2,Mech,1,1
mechdef_sunspiderx_SNS-X3,Mech,1,1
mechdef_archerx_ARC-RX,Mech,1,1
mechdef_archerx_ARC-SX,Mech,1,1
mechdef_argusx_AGS-X,Mech,1,1
mechdef_axmanx_AXM-X,Mech,1,1
mechdef_blackknightx_BL-KNT-X,Mech,1,1
mechdef_crusaderx_CRD-X,Mech,1,1
mechdef_crusaderx_CRD-X2,Mech,1,1
mechdef_laohux_LHU-X,Mech,1,1
mechdef_marauderx_MAD-X1,Mech,1,1
mechdef_marauderx_MAD-X2,Mech,1,1
mechdef_marauderx_MAD-X3,Mech,1,1
mechdef_ostwarx_OWR-X,Mech,1,1
mechdef_riflemanx_RFL-X,Mech,1,1
mechdef_thanatosx_TNS-X,Mech,1,1
mechdef_thunderboltx_TDR-X,Mech,1,1
mechdef_warhammerx_WHM-X,Mech,1,1
mechdef_devax_C-DVA-X1,Mech,1,1
mechdef_devax_C-DVA-X2,Mech,1,1
mechdef_devax_C-DVA-X3,Mech,1,1
mechdef_grigorix_C-GRG-X1,Mech,1,1
mechdef_grigorix_C-GRG-X2,Mech,1,1
mechdef_anvil_ANV-X,Mech,1,1
mechdef_anvil_ANV-X2,Mech,1,1
mechdef_argus_AGS-X2,Mech,1,1
mechdef_avatar_AV1-X,Mech,1,1
mechdef_avatar_AV1-X2,Mech,1,1
mechdef_avatar_AV1-X3,Mech,1,1
