itemCollection_fp_eae_ea_heavyparts,type,qty,weight
mechdef_ebonjaguarx_EBJ-X,MechPart,1,1
mechdef_hellbringerx_HBR-X,MechPart,1,1
mechdef_hellbringerx_HBR-X2,MechPart,1,1
mechdef_hellfirex_HLF-X1,MechPart,1,1
mechdef_hellfirex_HLF-X2,MechPart,1,1
mechdef_madcatx_MC-X,MechPart,1,1
mechdef_madcatx_MC-X2,MechPart,1,1
mechdef_maddogx_MDD-X,MechPart,1,1
mechdef_maddogx_MDD-X2,MechPart,1,1
mechdef_nightgyrx_NTG-X,MechPart,1,1
mechdef_orionx_ON1-CX,MechPart,1,1
mechdef_riflemaniicx_RFL-CX,MechPart,1,1
mechdef_summonerx_SMN-X1,MechPart,1,1
mechdef_summonerx_SMN-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X1,MechPart,1,1
mechdef_sunspiderx_SNS-X2,MechPart,1,1
mechdef_sunspiderx_SNS-X3,MechPart,1,1
mechdef_archerx_ARC-RX,MechPart,1,1
mechdef_archerx_ARC-SX,MechPart,1,1
mechdef_argusx_AGS-X,MechPart,1,1
mechdef_axmanx_AXM-X,MechPart,1,1
mechdef_blackknightx_BL-KNT-X,MechPart,1,1
mechdef_crusaderx_CRD-X,MechPart,1,1
mechdef_crusaderx_CRD-X2,MechPart,1,1
mechdef_laohux_LHU-X,MechPart,1,1
mechdef_marauderx_MAD-X1,MechPart,1,1
mechdef_marauderx_MAD-X2,MechPart,1,1
mechdef_marauderx_MAD-X3,MechPart,1,1
mechdef_ostwarx_OWR-X,MechPart,1,1
mechdef_riflemanx_RFL-X,MechPart,1,1
mechdef_thanatosx_TNS-X,MechPart,1,1
mechdef_thunderboltx_TDR-X,MechPart,1,1
mechdef_warhammerx_WHM-X,MechPart,1,1
mechdef_devax_C-DVA-X1,MechPart,1,1
mechdef_devax_C-DVA-X2,MechPart,1,1
mechdef_devax_C-DVA-X3,MechPart,1,1
mechdef_grigorix_C-GRG-X1,MechPart,1,1
mechdef_grigorix_C-GRG-X2,MechPart,1,1
mechdef_anvil_ANV-X,MechPart,1,1
mechdef_anvil_ANV-X2,MechPart,1,1
mechdef_argus_AGS-X2,MechPart,1,1
mechdef_avatar_AV1-X,MechPart,1,1
mechdef_avatar_AV1-X2,MechPart,1,1
mechdef_avatar_AV1-X3,MechPart,1,1
mechdef_axman_AXM-X2,MechPart,1,1
mechdef_balar_BA1-X1,MechPart,1,1
mechdef_balar_BA1-X2,MechPart,1,1
mechdef_battleaxe_BKX-X,MechPart,1,1
mechdef_battleaxe_BKX-X2,MechPart,1,1
mechdef_bellerophon_BEL-X,MechPart,1,1
mechdef_blackheart_BH-X1,MechPart,1,1
mechdef_blackknight_BL-10-KNT-X2,MechPart,1,1
mechdef_bombardier_BMB-X,MechPart,1,1
mechdef_caesar_CES-X,MechPart,1,1
mechdef_caesar_CES-X2,MechPart,1,1
mechdef_carronade_CRN-X,MechPart,1,1
mechdef_cataphract_CTF-X,MechPart,1,1
mechdef_cataphract_CTF-X2,MechPart,1,1
mechdef_catapult_CPLT-X1,MechPart,1,1
mechdef_catapult_CPLT-X2,MechPart,1,1
mechdef_champion_CHP-X,MechPart,1,1
mechdef_champion_CHP-X2,MechPart,1,1
mechdef_champion_CHP-X3,MechPart,1,1
mechdef_coehorn_COE-X1,MechPart,1,1
mechdef_coehorn_COE-X2,MechPart,1,1
mechdef_daikyu_DAI-X1,MechPart,1,1
mechdef_daikyu_DAI-X2,MechPart,1,1
mechdef_dragonfire_DGR-X1,MechPart,1,1
mechdef_dragonfire_DGR-X2,MechPart,1,1
mechdef_dragonfire_DGR-X3,MechPart,1,1
mechdef_dragon_DRG-X,MechPart,1,1
mechdef_excalibur_EXC-X,MechPart,1,1
mechdef_excalibur_EXC-X2,MechPart,1,1
mechdef_excalibur_EXC-X3,MechPart,1,1
mechdef_exterminator_EXT-4D-X,MechPart,1,1
mechdef_exterminator_EXT-X,MechPart,1,1
mechdef_granddragon_DRG-X,MechPart,1,1
mechdef_grasshopper_GHR-X,MechPart,1,1
mechdef_grasshopper_GHR-X2,MechPart,1,1
mechdef_guillotine_GLT-X,MechPart,1,1
mechdef_guillotine_GLT-X2,MechPart,1,1
mechdef_hammerhands_HMH-X1,MechPart,1,1
