itemCollection_fp_eae_ea_lightmedmechs,type,qty,weight
mechdef_adderx_ADR-X,Mech,1,1
mechdef_arcticcheetahx_ACH-X,Mech,1,1
mechdef_blacklannerx_BKL-X,Mech,1,1
mechdef_cougarx_CGR-X,Mech,1,1
mechdef_firemothx_FM-X,Mech,1,1
mechdef_hellhoundx_HEH-X,Mech,1,1
mechdef_huntsmanx_HMN-X,Mech,1,1
mechdef_incubusx_INC-X,Mech,1,1
mechdef_kitfoxx_KFX-X1,Mech,1,1
mechdef_kitfoxx_KFX-X2,Mech,1,1
mechdef_medusax_MED-X1,Mech,1,1
mechdef_medusax_MED-X2,Mech,1,1
mechdef_mistlynxx_MLX-X,Mech,1,1
mechdef_novax_NVA-X1,Mech,1,1
mechdef_novax_NVA-X2,Mech,1,1
mechdef_piranhax_PIR-X,Mech,1,1
mechdef_septicemiax_PRI-X,Mech,1,1
mechdef_shadowcatx_SHC-X,Mech,1,1
mechdef_stormcrowx_SCR-X1,Mech,1,1
mechdef_stormcrowx_SCR-X2,Mech,1,1
mechdef_vaporeaglex_VGL-X,Mech,1,1
mechdef_viperx_VPR-X1,Mech,1,1
mechdef_viperx_VPR-X2,Mech,1,1
mechdef_bushwackerx_BSW-XX,Mech,1,1
mechdef_cephalusx_CEP-X,Mech,1,1
mechdef_cicadax_CDA-X,Mech,1,1
mechdef_commandox_COM-X,Mech,1,1
mechdef_crabx_CRB-X1,Mech,1,1
mechdef_crabx_CRB-X2,Mech,1,1
mechdef_dervishx_DV-X,Mech,1,1
mechdef_griffinx_GRF-X,Mech,1,1
mechdef_griffinx_GRF-X2,Mech,1,1
mechdef_hatchetmanx_HCT-X,Mech,1,1
mechdef_hellspawnx_HSN-X,Mech,1,1
mechdef_hollanderx_BZK-FX,Mech,1,1
mechdef_hunchbackx_HBK-X1,Mech,1,1
mechdef_hunchbackx_HBK-X2,Mech,1,1
mechdef_hunchbackx_HBK-X3,Mech,1,1
mechdef_huronwx_HUR-WO-X,Mech,1,1
mechdef_mongoosex_MON-X,Mech,1,1
mechdef_phoenixhawkx_PXH-X,Mech,1,1
mechdef_shadowhawkx_SHD-X1,Mech,1,1
mechdef_shadowhawkx_SHD-X2,Mech,1,1
mechdef_stingerx_STG-X,Mech,1,1
