itemCollection_fp_eae_ea_medparts,type,qty,weight
mechdef_blacklannerx_BKL-X,MechPart,1,1
mechdef_hellhoundx_HEH-X,MechPart,1,1
mechdef_huntsmanx_HMN-X,MechPart,1,1
mechdef_medusax_MED-X1,MechPart,1,1
mechdef_medusax_MED-X2,MechPart,1,1
mechdef_novax_NVA-X1,MechPart,1,1
mechdef_novax_NVA-X2,MechPart,1,1
mechdef_septicemiax_PRI-X,MechPart,1,1
mechdef_shadowcatx_SHC-X,MechPart,1,1
mechdef_stormcrowx_SCR-X1,MechPart,1,1
mechdef_stormcrowx_SCR-X2,MechPart,1,1
mechdef_vaporeaglex_VGL-X,MechPart,1,1
mechdef_viperx_VPR-X1,MechPart,1,1
mechdef_viperx_VPR-X2,MechPart,1,1
mechdef_bushwackerx_BSW-XX,MechPart,1,1
mechdef_cicadax_CDA-X,MechPart,1,1
mechdef_crabx_CRB-X1,MechPart,1,1
mechdef_crabx_CRB-X2,MechPart,1,1
mechdef_dervishx_DV-X,MechPart,1,1
mechdef_griffinx_GRF-X,MechPart,1,1
mechdef_griffinx_GRF-X2,MechPart,1,1
mechdef_hatchetmanx_HCT-X,MechPart,1,1
mechdef_hellspawnx_HSN-X,MechPart,1,1
mechdef_hunchbackx_HBK-X1,MechPart,1,1
mechdef_hunchbackx_HBK-X2,MechPart,1,1
mechdef_hunchbackx_HBK-X3,MechPart,1,1
mechdef_huronwx_HUR-WO-X,MechPart,1,1
mechdef_phoenixhawkx_PXH-X,MechPart,1,1
mechdef_shadowhawkx_SHD-X1,MechPart,1,1
mechdef_shadowhawkx_SHD-X2,MechPart,1,1
mechdef_talosx_TLS-X,MechPart,1,1
mechdef_uzielx_UZL-X,MechPart,1,1
mechdef_wolverinex_WVR-X,MechPart,1,1
mechdef_pretax_C-PRT-X1,MechPart,1,1
mechdef_pretax_C-PRT-X2,MechPart,1,1
mechdef_jaguarx_JGR-LAM-X,MechPart,1,1
mechdef_lancerx_LNC-LAM-X,MechPart,1,1
mechdef_phoenixhawkx_PHX-LAM-X,MechPart,1,1
mechdef_shadowhawkx_SHD-LAM-X,MechPart,1,1
mechdef_thunderbirdx_TB-LAM-X,MechPart,1,1
mechdef_wanetax_WN-LAM-X,MechPart,1,1
mechdef_whiteeaglex_WE-LAM-X,MechPart,1,1
mechdef_apollo_APL-X1,MechPart,1,1
mechdef_apollo_APL-X2,MechPart,1,1
mechdef_assassinii_ASNII-X1,MechPart,1,1
mechdef_assassinii_ASNII-X2,MechPart,1,1
mechdef_assassin_ASN-X1,MechPart,1,1
mechdef_assassin_ASN-X2,MechPart,1,1
mechdef_blackjack_BJ-X1,MechPart,1,1
mechdef_blackjack_BJ-X2,MechPart,1,1
mechdef_blitzkrieg_BTZ-X,MechPart,1,1
mechdef_bombard_BMB-X1,MechPart,1,1
mechdef_bombard_BMB-X2,MechPart,1,1
mechdef_bombard_BMB-X3,MechPart,1,1
mechdef_bushwackerx_BWSX-X2,MechPart,1,1
mechdef_centurion_CN9-X,MechPart,1,1
mechdef_centurion_CN9-X2,MechPart,1,1
mechdef_chameleon_CLN-X,MechPart,1,1
mechdef_chameleon_CLN-X2,MechPart,1,1
mechdef_chimera_CMA-X,MechPart,1,1
mechdef_cicada_CDA-X2,MechPart,1,1
mechdef_clint_CLNT-X,MechPart,1,1
mechdef_clint_CLNT-X2,MechPart,1,1
mechdef_crab_CRB-X3,MechPart,1,1
mechdef_dervish_DV-X2,MechPart,1,1
mechdef_dervish_DV-X3,MechPart,1,1
mechdef_enfield_END-X,MechPart,1,1
mechdef_enfield_END-X2,MechPart,1,1
mechdef_enforcer_ENF-X,MechPart,1,1
mechdef_enforcer_ENF-X2,MechPart,1,1
mechdef_eris_ERS-X,MechPart,1,1
mechdef_eris_ERS-X2,MechPart,1,1
mechdef_ghost_GST-X1,MechPart,1,1
mechdef_ghost_GST-X2,MechPart,1,1
mechdef_gladiator_GLD-X1,MechPart,1,1
mechdef_gladiator_GLD-X2,MechPart,1,1
mechdef_hatchetman_HCT-X2,MechPart,1,1
mechdef_hellspawn_HSN-X2,MechPart,1,1
mechdef_hellspawn_HSN-X3,MechPart,1,1
mechdef_hoplite_HOP-X,MechPart,1,1
mechdef_hoplite_HOP-X2,MechPart,1,1
mechdef_huronwarrior_HUR-WO-X2,MechPart,1,1
mechdef_icarusii_ICR-X,MechPart,1,1
mechdef_icarusii_ICR-X2,MechPart,1,1
mechdef_kintaro_KTO-X,MechPart,1,1
mechdef_kintaro_KTO-X2,MechPart,1,1
mechdef_komodo_KIM-X,MechPart,1,1
mechdef_komodo_KIM-X2,MechPart,1,1
mechdef_kyudo_KY2-D-X,MechPart,1,1
mechdef_kyudo_KY2-D-X2,MechPart,1,1
mechdef_lynx_LNX-X1,MechPart,1,1
mechdef_lynx_LNX-X2,MechPart,1,1
mechdef_mushu_MHU-X1,MechPart,1,1
mechdef_mushu_MHU-X2,MechPart,1,1
mechdef_osprey_OSP-X,MechPart,1,1
mechdef_osprey_OSP-X2,MechPart,1,1
mechdef_phoenixhawk_PXH-X2,MechPart,1,1
mechdef_phoenixhawk_PXH-X3,MechPart,1,1
mechdef_sentinel_STN-X,MechPart,1,1
mechdef_sentinel_STN-X2,MechPart,1,1
mechdef_shayu_SYU-X,MechPart,1,1
mechdef_shayu_SYU-X2,MechPart,1,1
mechdef_starslayer_STY-X1,MechPart,1,1
mechdef_starslayer_STY-X2,MechPart,1,1
mechdef_strider_SR1-X,MechPart,1,1
mechdef_strider_SR1-X2,MechPart,1,1
mechdef_strider_SR1-X3,MechPart,1,1
mechdef_swordsman_SWD-X,MechPart,1,1
mechdef_trebuchet_TBT-X,MechPart,1,1
mechdef_trebuchet_TBT-X2,MechPart,1,1
mechdef_trebuchet_TBT-X3,MechPart,1,1
mechdef_uziel_UZL-X2,MechPart,1,1
mechdef_uziel_UZL-X3,MechPart,1,1
mechdef_vindicator_VND-X,MechPart,1,1
mechdef_vindicator_VND-X2,MechPart,1,1
mechdef_vulcan_VL-X,MechPart,1,1
mechdef_vulcan_VL-X2,MechPart,1,1
mechdef_whitworth_WTH-X1,MechPart,1,1
mechdef_whitworth_WTH-X2,MechPart,1,1
mechdef_wolverine_WVR-X2,MechPart,1,1
mechdef_wraith_TR-X,MechPart,1,1
mechdef_wraith_TR-X2,MechPart,1,1
mechdef_wyvern_WVE-X,MechPart,1,1
mechdef_wyvern_WVE-X2,MechPart,1,1
mechdef_arcticwolf_ACW-X1,MechPart,1,1
mechdef_arcticwolf_ACW-X2,MechPart,1,1
mechdef_arcticwolf_ACW-X3,MechPart,1,1
mechdef_blacklanner_BKL-X2,MechPart,1,1
mechdef_conjurer_WVR-IIC-X1,MechPart,1,1
mechdef_conjurer_WVR-IIC-X2,MechPart,1,1
mechdef_darkcrow_DCR-X,MechPart,1,1
mechdef_fox_FX-X,MechPart,1,1
mechdef_grendel_GDL-X1,MechPart,1,1
mechdef_grendel_GDL-X2,MechPart,1,1
mechdef_hammerhead_HMH-X1,MechPart,1,1
mechdef_hammerhead_HMH-X2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X3,MechPart,1,1
mechdef_huntsman_HMN-X2,MechPart,1,1
mechdef_iceferret_IFR-X,MechPart,1,1
mechdef_iceferret_IFR-X2,MechPart,1,1
mechdef_mercuryii_MCY-100X,MechPart,1,1
mechdef_mercuryii_MCY-110X,MechPart,1,1
mechdef_naja_NJA-X,MechPart,1,1
mechdef_naja_NJA-X2,MechPart,1,1
mechdef_phantom_PHN-X1,MechPart,1,1
mechdef_phantom_PHN-X2,MechPart,1,1
mechdef_phantom_PHN-X3,MechPart,1,1
mechdef_septicemia_PRI-X2,MechPart,1,1
mechdef_septicemia_PRI-X3,MechPart,1,1
mechdef_shadowcat_SHC-X2,MechPart,1,1
mechdef_shadowcat_SHC-X3,MechPart,1,1
mechdef_stag_ST-X1,MechPart,1,1
mechdef_stag_ST-X2,MechPart,1,1
mechdef_stag_ST-X3,MechPart,1,1
mechdef_vaporeagle_VGL-X2,MechPart,1,1
