itemCollection_fp_eae_eas_asltsuperparts,type,qty,weight
mechdef_banes_BAN-S,MechPart,1,1
mechdef_bloodasps_BAS-S,MechPart,1,1
mechdef_direwolfs_DWF-S1,MechPart,1,1
mechdef_direwolfs_DWF-S2,MechPart,1,1
mechdef_executioners_EXE-S,MechPart,1,1
mechdef_gargoyles_GAR-S,MechPart,1,1
mechdef_highlanders_HGN-CS,MechPart,1,1
mechdef_kodiaks_KDK-S,MechPart,1,1
mechdef_madcatmkiis_MCII-S,MechPart,1,1
mechdef_marauderiics_MAD-IIC-S,MechPart,1,1
mechdef_osteons_OS-S1,MechPart,1,1
mechdef_osteons_OS-S2,MechPart,1,1
mechdef_stonerhinos_STR-S,MechPart,1,1
mechdef_supernovas_SNV-S1,MechPart,1,1
mechdef_supernovas_SNV-S2,MechPart,1,1
mechdef_turkinas_TKN-S,MechPart,1,1
mechdef_warhammers_WHM-IIC-S,MechPart,1,1
mechdef_warhawks_WHK-S,MechPart,1,1
mechdef_annihilators_ANH-ES,MechPart,1,1
mechdef_atlass_AS7-S,MechPart,1,1
mechdef_banshees_BNC-S,MechPart,1,1
mechdef_banshees_BNC-S2,MechPart,1,1
mechdef_corsairs_COR-S,MechPart,1,1
mechdef_fafnirs_FNR-S,MechPart,1,1
mechdef_hatamotochis_HTM-S,MechPart,1,1
mechdef_kingcrabs_KGC-S,MechPart,1,1
mechdef_longbows_LGB-S1,MechPart,1,1
mechdef_longbows_LGB-S2,MechPart,1,1
mechdef_longbows_LGB-S3,MechPart,1,1
mechdef_longbows_LGB-S4,MechPart,1,1
mechdef_marauderIIs_MAD-AS,MechPart,1,1
mechdef_marauderIIs_MAD-BS,MechPart,1,1
mechdef_maulers_MAL-S,MechPart,1,1
mechdef_zeuss_ZEU-XS,MechPart,1,1
mechdef_zeuss_ZEU-YS,MechPart,1,1
mechdef_archangels_C-ANG-S,MechPart,1,1
mechdef_archangels_C-ANG-S2,MechPart,1,1
mechdef_archangels_C-ANG-S3,MechPart,1,1
mechdef_seraphs_C-SRP-S1,MechPart,1,1
mechdef_seraphs_C-SRP-S2,MechPart,1,1
mechdef_seraphs_C-SRP-S3,MechPart,1,1
mechdef_gigants_SH-GG-S,MechPart,1,1
mechdef_longbowIIs_SH-LGB-S,MechPart,1,1
mechdef_matarIIs_SAM-RS-MTS,MechPart,1,1
mechdef_monster_HWR-SH-SS,MechPart,1,1
mechdef_omegas_SHP-XS,MechPart,1,1
mechdef_ramparts_RPT-S,MechPart,1,1
mechdef_svarogs_SH-SVG-S,MechPart,1,1
mechdef_terminuss_TMS-S,MechPart,1,1
mechdef_albatross_ALB-S1,MechPart,1,1
mechdef_albatross_ALB-S2,MechPart,1,1
mechdef_annihilator_ANH-S1,MechPart,1,1
mechdef_annihilator_ANH-S2,MechPart,1,1
mechdef_annihilator_ANH-S3,MechPart,1,1
mechdef_atlas_AS7-D3S,MechPart,1,1
mechdef_awesome_AWS-S,MechPart,1,1
mechdef_awesome_AWS-S2,MechPart,1,1
mechdef_battlehammer_BHA-S1,MechPart,1,1
mechdef_battlehammer_BHA-S2,MechPart,1,1
mechdef_battlemaster_BLR-S1,MechPart,1,1
mechdef_battlemaster_BLR-S2,MechPart,1,1
mechdef_berserker_BRZ-S,MechPart,1,1
mechdef_berserker_BRZ-S2,MechPart,1,1
mechdef_bigfoot_BFT-S1,MechPart,1,1
mechdef_bigfoot_BFT-S2,MechPart,1,1
mechdef_broadside_BS-S1,MechPart,1,1
mechdef_broadside_BS-S2,MechPart,1,1
mechdef_bullshark_BSK-S1,MechPart,1,1
mechdef_bullshark_BSK-M3X2,MechPart,1,1
mechdef_charger_CGR-S,MechPart,1,1
mechdef_corsair_COR-S2,MechPart,1,1
mechdef_crockett_CRK-S1,MechPart,1,1
mechdef_crockett_CRK-S2,MechPart,1,1
mechdef_cyclopsii_CPII-S1,MechPart,1,1
mechdef_cyclopsii_CPII-S2,MechPart,1,1
mechdef_cyclopsii_CPII-S3,MechPart,1,1
mechdef_cyclopsii_CPII-S4,MechPart,1,1
mechdef_cyclops_CP-10-Z-DC-S,MechPart,1,1
mechdef_cyclops_CP-10-Z-S,MechPart,1,1
mechdef_dilletante_DLT-S1,MechPart,1,1
mechdef_dilletante_DLT-S2,MechPart,1,1
mechdef_diomede_D-M3D-S,MechPart,1,1
mechdef_doloire_DLR-S,MechPart,1,1
mechdef_doloire_DLR-S2,MechPart,1,1
mechdef_emperor_EMP-S,MechPart,1,1
mechdef_emperor_EMP-S2,MechPart,1,1
mechdef_fafnir_FNR-S2,MechPart,1,1
mechdef_grandtitan_T-IT-S1,MechPart,1,1
mechdef_grandtitan_T-IT-S2,MechPart,1,1
mechdef_gunslinger_GUN-S1,MechPart,1,1
mechdef_gunslinger_GUN-S2,MechPart,1,1
mechdef_hatamoto-chii_HTM-S2,MechPart,1,1
mechdef_hatamoto-hi_HTM-S3,MechPart,1,1
mechdef_hauptmann_HA1-S,MechPart,1,1
mechdef_hauptmann_HA1-S2,MechPart,1,1
mechdef_highlander_HGN-S,MechPart,1,1
mechdef_highlander_HGN-S2,MechPart,1,1
mechdef_hwatcha_HWT-LR-S,MechPart,1,1
mechdef_hwatcha_HWT-MR-S,MechPart,1,1
mechdef_hwatcha_HWT-SR-S,MechPart,1,1
mechdef_imp_IMP-S,MechPart,1,1
mechdef_imp_IMP-S2,MechPart,1,1
mechdef_imp_IMP-S3,MechPart,1,1
mechdef_juggernaut_JG-S,MechPart,1,1
mechdef_juggernaut_JG-S2,MechPart,1,1
mechdef_kingcrabrauder_KCRD-S1,MechPart,1,1
mechdef_kingcrabrauder_KCRD-S2,MechPart,1,1
mechdef_kingcrab_KGC-S2,MechPart,1,1
mechdef_mackie-S,MechPart,1,1
mechdef_mackie_MSK-S2,MechPart,1,1
mechdef_mackie_MSK-S3,MechPart,1,1
mechdef_mauler_MAL-S2,MechPart,1,1
mechdef_mauler_MAL-S3,MechPart,1,1
mechdef_naginata_NG-S,MechPart,1,1
mechdef_naginata_NG-S2,MechPart,1,1
mechdef_nightstar_NSR-S,MechPart,1,1
mechdef_nightstar_NSR-S2,MechPart,1,1
mechdef_olympian_AL1-G8R-S,MechPart,1,1
mechdef_pillager_PLG-S,MechPart,1,1
mechdef_pillager_PLG-S2,MechPart,1,1
mechdef_rampage_RMP-S1,MechPart,1,1
mechdef_rampage_RMP-S2,MechPart,1,1
mechdef_salamander_PPR-S1,MechPart,1,1
mechdef_salamander_PPR-S2,MechPart,1,1
mechdef_shogun_SHG-S1,MechPart,1,1
mechdef_shogun_SHG-S2,MechPart,1,1
mechdef_sorcerer_SRC-S1,MechPart,1,1
mechdef_sorcerer_SRC-S2,MechPart,1,1
mechdef_sorcerer_SRC-S3,MechPart,1,1
mechdef_stalker_STK-S,MechPart,1,1
mechdef_stalker_STK-S2,MechPart,1,1
mechdef_stalker_STK-S3,MechPart,1,1
mechdef_striker_STC-S,MechPart,1,1
mechdef_striker_STC-S2,MechPart,1,1
mechdef_sunder_SD1-S1,MechPart,1,1
mechdef_sunder_SD1-S2,MechPart,1,1
mechdef_templar_TLR1-S,MechPart,1,1
mechdef_templar_TLR1-S2,MechPart,1,1
mechdef_templar_TLR1-S3,MechPart,1,1
mechdef_thug_THG-S,MechPart,1,1
mechdef_thug_THG-S2,MechPart,1,1
mechdef_thug_THG-S3,MechPart,1,1
mechdef_thunderhawk_TDK-S,MechPart,1,1
mechdef_thunderhawk_TDK-S2,MechPart,1,1
mechdef_thunderhawk_TDK-S3,MechPart,1,1
mechdef_thunderstone_TDS-S1,MechPart,1,1
mechdef_thunderstone_TDS-S2,MechPart,1,1
mechdef_thunderstone_TDS-S3,MechPart,1,1
mechdef_titanii_TI-S,MechPart,1,1
mechdef_titan_TI-S1,MechPart,1,1
mechdef_titan_TI-S2,MechPart,1,1
mechdef_vanquisher_VQR-S,MechPart,1,1
mechdef_vanquisher_VQR-S2,MechPart,1,1
mechdef_vanquisher_VQR-S3,MechPart,1,1
mechdef_victor_VTR-S,MechPart,1,1
