itemCollection_fp_eae_eas_lightmechs,type,qty,weight
mechdef_adders_ADR-S,Mech,1,1
mechdef_arcticcheetahs_ACH-S,Mech,1,1
mechdef_cougars_CGR-S,Mech,1,1
mechdef_firemoths_FM-S,Mech,1,1
mechdef_incubuss_INC-S,Mech,1,1
mechdef_kitfoxs_KFX-S1,Mech,1,1
mechdef_kitfoxs_KFX-S2,Mech,1,1
mechdef_mistlynxs_MLX-S,Mech,1,1
mechdef_piranhas_PIR-S,Mech,1,1
mechdef_cephaluss_CEP-S,Mech,1,1
mechdef_commandos_COM-S,Mech,1,1
mechdef_hollanders_BZK-FS,Mech,1,1
mechdef_mongooses_MON-S,Mech,1,1
mechdef_stingers_STG-S,Mech,1,1
mechdef_urbanmechs_UM-S,Mech,1,1
mechdef_valiants_V4-LNT-S,Mech,1,1
mechdef_valkyries_VLK-S,Mech,1,1
mechdef_wolfhounds_WLF-S1,Mech,1,1
mechdef_wolfhounds_WLF-S2,Mech,1,1
mechdef_malaks_C-MK-S,Mech,1,1
mechdef_blackfalcons_BF-LAM-S,Mech,1,1
mechdef_firebirds_FB-LAM-S,Mech,1,1
mechdef_sabers_SBR-LAM-S,Mech,1,1
mechdef_stingers_STG-LAM-S,Mech,1,1
mechdef_wasps_WSP-LAM-S,Mech,1,1
mechdef_anubis_ABS-S,Mech,1,1
mechdef_anubis_ABS-S2,Mech,1,1
mechdef_commando_COM-S2,Mech,1,1
mechdef_cossack_C-SK1-S,Mech,1,1
mechdef_cyclone_CYC-S,Mech,1,1
mechdef_cyclone_CYC-S2,Mech,1,1
mechdef_falcon_FLC-S,Mech,1,1
mechdef_falcon_FLC-S2,Mech,1,1
mechdef_firebee_FRB-S,Mech,1,1
mechdef_firefly_FFL-S,Mech,1,1
mechdef_firefly_FFL-S2,Mech,1,1
mechdef_firestarter_FS9-S,Mech,1,1
mechdef_firestarter_FS9-S2,Mech,1,1
mechdef_flea_FLE-S,Mech,1,1
mechdef_flea_FLE-S2,Mech,1,1
mechdef_hornet_HNT-S,Mech,1,1
mechdef_hussar_HSR-S,Mech,1,1
mechdef_jackrabbitii_JKR-S2,Mech,1,1
mechdef_jackrabbit_JKR-S,Mech,1,1
mechdef_javelin_JVN-S,Mech,1,1
mechdef_javelin_JVN-S2,Mech,1,1
mechdef_jenneriic_JR7-IIC-S1,Mech,1,1
mechdef_jenneriic_JR7-IIC-S2,Mech,1,1
mechdef_jennerrattlesnake_JR7-S2,Mech,1,1
mechdef_jenner_JR7-S,Mech,1,1
mechdef_locust_LCT-S,Mech,1,1
mechdef_locust_LCT-S2,Mech,1,1
mechdef_mercury_MCY-99W-S1,Mech,1,1
mechdef_mercury_MCY-S1,Mech,1,1
mechdef_mongoose_MON-S2,Mech,1,1
mechdef_nighthawk_NTK-S,Mech,1,1
mechdef_osiris_OSR-S,Mech,1,1
mechdef_osiris_OSR-S2,Mech,1,1
mechdef_owens_OW-S,Mech,1,1
mechdef_owens_OW-S2,Mech,1,1
mechdef_panther_PNT-S,Mech,1,1
mechdef_panther_PNT-S2,Mech,1,1
mechdef_raptor_RTX1-O-S1,Mech,1,1
mechdef_raptor_RTX1-OC-S2,Mech,1,1
mechdef_raven_RVN-S,Mech,1,1
mechdef_raven_RVN-S2,Mech,1,1
mechdef_sling_SL-S1,Mech,1,1
mechdef_sling_SL-S2,Mech,1,1
mechdef_spider_SDR-S,Mech,1,1
mechdef_spider_SDR-S2,Mech,1,1
mechdef_stinger_STG-S2,Mech,1,1
mechdef_talon_TLN-S,Mech,1,1
mechdef_talon_TLN-S2,Mech,1,1
mechdef_tiburon_TBN-2-S,Mech,1,1
mechdef_toro_TR-A-S,Mech,1,1
mechdef_toro_TR-B-S2,Mech,1,1
mechdef_urbanmechk-9_UM-S2,Mech,1,1
mechdef_urbanmech_UM-S3,Mech,1,1
mechdef_valkyrie_VLK-S2,Mech,1,1
mechdef_wasp_WSP-S,Mech,1,1
mechdef_wasp_WSP-S2,Mech,1,1
mechdef_wight_WGT-S,Mech,1,1
mechdef_wight_WGT-S2,Mech,1,1
mechdef_wolfhound_WLF-S3,Mech,1,1
mechdef_adder_ADR-S2,Mech,1,1
mechdef_adder_ADR-S3,Mech,1,1
mechdef_arcticcheetah_ACH-S2,Mech,1,1
mechdef_cougar_CGR-S2,Mech,1,1
mechdef_cougar_CGR-S3,Mech,1,1
mechdef_cougar_CGR-XR-S1,Mech,1,1
mechdef_firemoth_FM-S2,Mech,1,1
mechdef_howler_HWL-S1,Mech,1,1
mechdef_howler_HWL-S2,Mech,1,1
mechdef_incubus_INC-S2,Mech,1,1
mechdef_incubus_INC-S3,Mech,1,1
mechdef_locust_LCT-IIC-2-S2,Mech,1,1
mechdef_locust_LCT-IIC-S,Mech,1,1
mechdef_mistlynx_MLX-S2,Mech,1,1
mechdef_piranha_PIR-S2,Mech,1,1
mechdef_piranha_PIR-S3,Mech,1,1
mechdef_solitaire_SLT-1-S,Mech,1,1
mechdef_tiburon_TBN-1-S,Mech,1,1
