itemCollection_fp_eae_eas_medheavymechs,type,qty,weight
mechdef_blacklanners_BKL-S,Mech,1,1
mechdef_ebonjaguars_EBJ-S,Mech,1,1
mechdef_hellbringers_HBR-S,Mech,1,1
mechdef_hellbringers_HBR-S2,Mech,1,1
mechdef_hellfires_HLF-S1,Mech,1,1
mechdef_hellfires_HLF-S2,Mech,1,1
mechdef_hellhounds_HEH-S,Mech,1,1
mechdef_huntsmans_HMN-S,Mech,1,1
mechdef_madcats_MC-S,Mech,1,1
mechdef_madcats_MC-S2,Mech,1,1
mechdef_maddogs_MDD-S,Mech,1,1
mechdef_maddogs_MDD-S2,Mech,1,1
mechdef_medusas_MED-S1,Mech,1,1
mechdef_medusas_MED-S2,Mech,1,1
mechdef_nightgyrs_NTG-S,Mech,1,1
mechdef_novas_NVA-S1,Mech,1,1
mechdef_novas_NVA-S2,Mech,1,1
mechdef_orions_ON1-CS,Mech,1,1
mechdef_riflemaniics_RFL-CS,Mech,1,1
mechdef_septicemias_PRI-S,Mech,1,1
mechdef_shadowcats_SHC-S,Mech,1,1
mechdef_stormcrows_SCR-S1,Mech,1,1
mechdef_stormcrows_SCR-S2,Mech,1,1
mechdef_summoners_SMN-S1,Mech,1,1
mechdef_summoners_SMN-S2,Mech,1,1
mechdef_sunspiders_SNS-S1,Mech,1,1
mechdef_sunspiders_SNS-S2,Mech,1,1
mechdef_sunspiders_SNS-S3,Mech,1,1
mechdef_vaporeagles_VGL-S,Mech,1,1
mechdef_vipers_VPR-S1,Mech,1,1
mechdef_vipers_VPR-S2,Mech,1,1
mechdef_archers_ARC-RS,Mech,1,1
mechdef_archers_ARC-SS,Mech,1,1
mechdef_arguss_AGS-S,Mech,1,1
mechdef_axmans_AXM-S,Mech,1,1
mechdef_blackknights_BL-KNT-S,Mech,1,1
mechdef_bushwackers_BSW-XS,Mech,1,1
mechdef_cicadas_CDA-S,Mech,1,1
mechdef_crabs_CRB-S1,Mech,1,1
mechdef_crabs_CRB-S2,Mech,1,1
mechdef_crusaders_CRD-S,Mech,1,1
mechdef_crusaders_CRD-S2,Mech,1,1
mechdef_dervishs_DV-S,Mech,1,1
mechdef_griffins_GRF-S,Mech,1,1
mechdef_griffins_GRF-S2,Mech,1,1
mechdef_hatchetmans_HCT-S,Mech,1,1
mechdef_hellspawns_HSN-S,Mech,1,1
mechdef_hunchbacks_HBK-S1,Mech,1,1
mechdef_hunchbacks_HBK-S2,Mech,1,1
mechdef_hunchbacks_HBK-S3,Mech,1,1
mechdef_huronws_HUR-WO-S,Mech,1,1
mechdef_jagermechs_JM6-SS,Mech,1,1
mechdef_laohus_LHU-S,Mech,1,1
mechdef_marauders_MAD-S1,Mech,1,1
