itemCollection_fp_eae_eas_medheavyparts,type,qty,weight
mechdef_blacklanners_BKL-S,MechPart,1,1
mechdef_ebonjaguars_EBJ-S,MechPart,1,1
mechdef_hellbringers_HBR-S,MechPart,1,1
mechdef_hellbringers_HBR-S2,MechPart,1,1
mechdef_hellfires_HLF-S1,MechPart,1,1
mechdef_hellfires_HLF-S2,MechPart,1,1
mechdef_hellhounds_HEH-S,MechPart,1,1
mechdef_huntsmans_HMN-S,MechPart,1,1
mechdef_madcats_MC-S,MechPart,1,1
mechdef_madcats_MC-S2,MechPart,1,1
mechdef_maddogs_MDD-S,MechPart,1,1
mechdef_maddogs_MDD-S2,MechPart,1,1
mechdef_medusas_MED-S1,MechPart,1,1
mechdef_medusas_MED-S2,MechPart,1,1
mechdef_nightgyrs_NTG-S,MechPart,1,1
mechdef_novas_NVA-S1,MechPart,1,1
mechdef_novas_NVA-S2,MechPart,1,1
mechdef_orions_ON1-CS,MechPart,1,1
mechdef_riflemaniics_RFL-CS,MechPart,1,1
mechdef_septicemias_PRI-S,MechPart,1,1
mechdef_shadowcats_SHC-S,MechPart,1,1
mechdef_stormcrows_SCR-S1,MechPart,1,1
mechdef_stormcrows_SCR-S2,MechPart,1,1
mechdef_summoners_SMN-S1,MechPart,1,1
mechdef_summoners_SMN-S2,MechPart,1,1
mechdef_sunspiders_SNS-S1,MechPart,1,1
mechdef_sunspiders_SNS-S2,MechPart,1,1
mechdef_sunspiders_SNS-S3,MechPart,1,1
mechdef_vaporeagles_VGL-S,MechPart,1,1
mechdef_vipers_VPR-S1,MechPart,1,1
mechdef_vipers_VPR-S2,MechPart,1,1
mechdef_archers_ARC-RS,MechPart,1,1
mechdef_archers_ARC-SS,MechPart,1,1
mechdef_arguss_AGS-S,MechPart,1,1
mechdef_axmans_AXM-S,MechPart,1,1
mechdef_blackknights_BL-KNT-S,MechPart,1,1
mechdef_bushwackers_BSW-XS,MechPart,1,1
mechdef_cicadas_CDA-S,MechPart,1,1
mechdef_crabs_CRB-S1,MechPart,1,1
mechdef_crabs_CRB-S2,MechPart,1,1
mechdef_crusaders_CRD-S,MechPart,1,1
mechdef_crusaders_CRD-S2,MechPart,1,1
mechdef_dervishs_DV-S,MechPart,1,1
mechdef_griffins_GRF-S,MechPart,1,1
mechdef_griffins_GRF-S2,MechPart,1,1
mechdef_hatchetmans_HCT-S,MechPart,1,1
mechdef_hellspawns_HSN-S,MechPart,1,1
mechdef_hunchbacks_HBK-S1,MechPart,1,1
mechdef_hunchbacks_HBK-S2,MechPart,1,1
mechdef_hunchbacks_HBK-S3,MechPart,1,1
mechdef_huronws_HUR-WO-S,MechPart,1,1
mechdef_jagermechs_JM6-SS,MechPart,1,1
