itemCollection_fp_eae_ef_lightmechs,type,qty,weight
mechdef_firestarter_FS9-HX1,Mech,1,1
mechdef_flea_FLE-4X1,Mech,1,1
mechdef_javelin_JVN-10FX1,Mech,1,1
mechdef_javelin_JVN-10NX,Mech,1,1
mechdef_jenner_JR7-DX,Mech,1,1
mechdef_locust_LCT-1VX,Mech,1,1
mechdef_panther_PNT-9RX,Mech,1,1
mechdef_raven_RVN-1X1,Mech,1,1
mechdef_raven_RVN-1X2,Mech,1,1
mechdef_anubis_ABS-3LX,Mech,1,1
mechdef_anubis_ABS-3TX,Mech,1,1
mechdef_commando_COM-3AX,Mech,1,1
mechdef_cossack_C-SK1X,Mech,1,1
mechdef_cyclone_CYC-A1X,Mech,1,1
mechdef_falcon_FLC-4PX,Mech,1,1
mechdef_firebee_FRB-2EX,Mech,1,1
mechdef_firefly_FFL-3AX,Mech,1,1
mechdef_firefly_FFL-3SLEX,Mech,1,1
mechdef_firestarter_FS9-MX,Mech,1,1
mechdef_jackrabbit_JKR-8TX,Mech,1,1
mechdef_jackrabbit_JKR-9RX,Mech,1,1
mechdef_locust_LCT-1VbX,Mech,1,1
mechdef_mercury_MCY-99X,Mech,1,1
mechdef_nighthawk_NTK-2QX,Mech,1,1
mechdef_osiris_OSR-3DX,Mech,1,1
mechdef_osiris_OSR-4DX,Mech,1,1
mechdef_owens_OW-1BX,Mech,1,1
mechdef_owens_OW-1X,Mech,1,1
mechdef_panther_PNT-9ALAGX,Mech,1,1
mechdef_sling_SL-1GX,Mech,1,1
mechdef_sling_SL-1HX,Mech,1,1
mechdef_spider_SDR-5KX,Mech,1,1
mechdef_spider_SDR-7KX,Mech,1,1
mechdef_stinger_STG-5TX,Mech,1,1
mechdef_talon_TLN-5WX,Mech,1,1
mechdef_toro_TR-A-6X,Mech,1,1
mechdef_wasp_WSP-1AX,Mech,1,1
mechdef_wasp_WSP-1DX,Mech,1,1
