itemCollection_fp_eae_ef_medheavyparts,type,qty,weight
mechdef_archer_ARC-2RX1,MechPart,1,1
mechdef_archer_ARC-2SX1,MechPart,1,1
mechdef_assassin_ASN-101X,MechPart,1,1
mechdef_blackjack_BJ-1X,MechPart,1,1
mechdef_blackknight_BL-6-KNTX1,MechPart,1,1
mechdef_blackknight_BL-6b-KNTX,MechPart,1,1
mechdef_cataphract_CTF-1XA,MechPart,1,1
mechdef_cataphract_CTF-1XB,MechPart,1,1
mechdef_centurion_CN9-ALX1,MechPart,1,1
mechdef_crab_CRB-27bX,MechPart,1,1
mechdef_enforcer_ENF-4RX1,MechPart,1,1
mechdef_granddragon_DRG-1GX,MechPart,1,1
mechdef_grasshopper_GHR-5HX,MechPart,1,1
mechdef_griffin_GRF-1SX,MechPart,1,1
mechdef_griffin_GRF-4NX,MechPart,1,1
mechdef_hatchetman_HCT-3FX1,MechPart,1,1
mechdef_hunchback_HBK-4PX,MechPart,1,1
mechdef_jagermech_JM6-SX,MechPart,1,1
mechdef_jagermech_JM6-SX2,MechPart,1,1
mechdef_kintaro_KTO-18X1,MechPart,1,1
mechdef_kintaro_KTO-18X2,MechPart,1,1
mechdef_marauder_MAD-2RX,MechPart,1,1
mechdef_marauder_MAD-3RX1,MechPart,1,1
mechdef_orion_ON1-VX1,MechPart,1,1
mechdef_orion_ON1-VX2,MechPart,1,1
mechdef_phoenixhawk_PXH-1bX,MechPart,1,1
mechdef_quickdraw_QKD-4GX,MechPart,1,1
mechdef_shadowhawk_SHD-2DX1,MechPart,1,1
mechdef_thunderbolt_TDR-5SX,MechPart,1,1
mechdef_vulcan_VL-5TX,MechPart,1,1
mechdef_warhammer_WHM-6RX1,MechPart,1,1
mechdef_warhammer_WHM-7AX,MechPart,1,1
mechdef_wolverine_WVR-6KX1,MechPart,1,1
mechdef_anvil_ANV-3MX,MechPart,1,1
mechdef_anvil_ANV-5MX,MechPart,1,1
mechdef_apollo_APL-3TX,MechPart,1,1
mechdef_argus_AGS-2DX,MechPart,1,1
mechdef_assassin_ASN-26X,MechPart,1,1
mechdef_assassin_ASN-27X,MechPart,1,1
mechdef_battleaxe_BKX-7KX,MechPart,1,1
mechdef_battleaxe_BKX-7NCX,MechPart,1,1
mechdef_bellerophon_BEL-1XX,MechPart,1,1
mechdef_blitzkrieg_BTZ-3FX,MechPart,1,1
mechdef_bombardier_BMB-14CX,MechPart,1,1
mechdef_caesar_CES-3RX,MechPart,1,1
mechdef_caesar_CES-4RX,MechPart,1,1
mechdef_catapult_CPLT-C1X,MechPart,1,1
mechdef_catapult_CPLT-K2X,MechPart,1,1
mechdef_chameleon_CLN-8VX,MechPart,1,1
mechdef_champion_CHP-1NbX,MechPart,1,1
mechdef_champion_CHP-3NX,MechPart,1,1
