itemCollection_fp_eae_heavymechs,type,qty,weight
mechdef_archer_ARC-2R,Mech,1,1
mechdef_archer_ARC-2S,Mech,1,1
mechdef_archer_ARC-LS,Mech,1,1
mechdef_archer_ARC-XO,Mech,1,1
mechdef_blackknight_BL-6-KNT,Mech,1,1
mechdef_blackknight_BL-6b-KNT,Mech,1,1
mechdef_cataphract_CTF-0X,Mech,1,1
mechdef_cataphract_CTF-1X,Mech,1,1
mechdef_catapult_CPLT-C1,Mech,1,1
mechdef_catapult_CPLT-C4,Mech,1,1
mechdef_catapult_CPLT-K2,Mech,1,1
mechdef_dragon_DRG-1N,Mech,1,1
mechdef_granddragon_DRG-1G,Mech,1,1
mechdef_grasshopper_GHR-5H,Mech,1,1
mechdef_jagermech_JM6-A,Mech,1,1
mechdef_jagermech_JM6-S,Mech,1,1
mechdef_marauder_MAD-2R,Mech,1,1
mechdef_marauder_MAD-3D,Mech,1,1
mechdef_marauder_MAD-3R,Mech,1,1
mechdef_marauder_MAD-BH,Mech,1,1
mechdef_marauder_MAD-CM,Mech,1,1
mechdef_orion_ON1-K,Mech,1,1
mechdef_orion_ON1-V,Mech,1,1
mechdef_quickdraw_QKD-4G,Mech,1,1
mechdef_quickdraw_QKD-5A,Mech,1,1
mechdef_rifleman_RFL-3C,Mech,1,1
mechdef_rifleman_RFL-3N,Mech,1,1
mechdef_rifleman_RFL-4D,Mech,1,1
mechdef_rifleman_RFL-RIP,Mech,1,1
mechdef_thunderbolt_TDR-5S,Mech,1,1
mechdef_thunderbolt_TDR-5SE,Mech,1,1
mechdef_thunderbolt_TDR-5SS,Mech,1,1
mechdef_warhammer_WHM-6D,Mech,1,1
mechdef_warhammer_WHM-6R,Mech,1,1
mechdef_warhammer_WHM-7A,Mech,1,1
mechdef_warhammer_WHM-BW,Mech,1,1
mechdef_archer_ARC-2K,Mech,1,1
mechdef_archer_ARC-2W,Mech,1,1
mechdef_argus_AGS-2D,Mech,1,1
mechdef_argus_AGS-5D,Mech,1,1
mechdef_avatar_AV1-0,Mech,1,1
mechdef_avatar_AV1-OA,Mech,1,1
mechdef_avatar_AV1-OB,Mech,1,1
mechdef_avatar_AV1-OH,Mech,1,1
mechdef_axman_AXM-1N,Mech,1,1
mechdef_axman_AXM-2N,Mech,1,1
mechdef_blackknight_BL-7-KNT-L,Mech,1,1
mechdef_blackknight_BL-7-KNT,Mech,1,1
mechdef_cataphract_CTF-2X,Mech,1,1
mechdef_cataphract_CTF-3L,Mech,1,1
mechdef_cataphract_CTF-4X,Mech,1,1
mechdef_catapult_CPLT-A1,Mech,1,1
mechdef_catapult_CPLT-COL,Mech,1,1
mechdef_catapult_CPLT-COL2,Mech,1,1
mechdef_champion_CHP-1N2,Mech,1,1
mechdef_champion_CHP-1Nb,Mech,1,1
mechdef_champion_CHP-2N,Mech,1,1
mechdef_charger_CGR-PB,Mech,1,1
mechdef_crusader_CRD-2R,Mech,1,1
mechdef_crusader_CRD-3R,Mech,1,1
mechdef_crusader_CRD-7M,Mech,1,1
mechdef_deva_C-DVA-OA,Mech,1,1
mechdef_deva_C-DVA-OB,Mech,1,1
mechdef_deva_C-DVA-OS,Mech,1,1
mechdef_dragon_DRG-1C,Mech,1,1
mechdef_grasshopper_GHR-4R,Mech,1,1
mechdef_grasshopper_GHR-5N,Mech,1,1
mechdef_grigori_C-GRG-O,Mech,1,1
mechdef_grigori_C-GRG-OS,Mech,1,1
mechdef_helepolis_HEP-2H,Mech,1,1
mechdef_jagermech_JM6-B,Mech,1,1
mechdef_lament_LMT-2R,Mech,1,1
mechdef_lament_LMT-4RC,Mech,1,1
mechdef_laohu_LHU-2B,Mech,1,1
mechdef_laohu_LHU-3C,Mech,1,1
mechdef_marauder_MAD-3L,Mech,1,1
mechdef_marauder_MAD-3M-DC,Mech,1,1
mechdef_marauder_MAD-3M,Mech,1,1
mechdef_marauder_MAD-4X,Mech,1,1
mechdef_merlin_MLN-1A,Mech,1,1
mechdef_orion_ON1-V-DC,Mech,1,1
mechdef_orion_ON1-VA,Mech,1,1
mechdef_ostroc_OSR-2C,Mech,1,1
mechdef_ostroc_OSR-2M,Mech,1,1
mechdef_ostroc_OSR-3C,Mech,1,1
mechdef_ostsol_OTL-4D,Mech,1,1
mechdef_ostsol_OTL-4F,Mech,1,1
mechdef_ostsol_OTL-5M,Mech,1,1
mechdef_ostsol_OTL-8E,Mech,1,1
mechdef_ostwar_OWR-2MB,Mech,1,1
mechdef_quickdraw_QKD-4H,Mech,1,1
mechdef_redreaper_BL-X-KNT,Mech,1,1
mechdef_rifleman_RFL-3M,Mech,1,1
mechdef_roughneck_RGH-1A,Mech,1,1
mechdef_roughneck_RGH-3A,Mech,1,1
mechdef_stalker_STK-4P,Mech,1,1
