itemCollection_fp_eae_lightmechs,type,qty,weight
mechdef_commando_COM-1B,Mech,1,1
mechdef_commando_COM-2D,Mech,1,1
mechdef_firestarter_FS9-H,Mech,1,1
mechdef_flea_FLE-15,Mech,1,1
mechdef_flea_FLE-4,Mech,1,1
mechdef_javelin_JVN-10A,Mech,1,1
mechdef_javelin_JVN-10F,Mech,1,1
mechdef_javelin_JVN-10N,Mech,1,1
mechdef_jenner_JR7-D,Mech,1,1
mechdef_locust_LCT-1E,Mech,1,1
mechdef_locust_LCT-1M,Mech,1,1
mechdef_locust_LCT-1S,Mech,1,1
mechdef_locust_LCT-1V,Mech,1,1
mechdef_panther_PNT-9R,Mech,1,1
mechdef_panther_TARGETDUMMY,Mech,1,1
mechdef_raven_RVN-1X,Mech,1,1
mechdef_raven_RVN-3X,Mech,1,1
mechdef_spider_SDR-5K,Mech,1,1
mechdef_spider_SDR-5V,Mech,1,1
mechdef_urbanmech_TESTDUMMY,Mech,1,1
mechdef_urbanmech_UM-R60,Mech,1,1
mechdef_urbanmech_UM-R60L,Mech,1,1
mechdef_urbanmech_UM-R90,Mech,1,1
mechdef_anubis_ABS-3L,Mech,1,1
mechdef_anubis_ABS-3T,Mech,1,1
mechdef_cephalus_CEP-D,Mech,1,1
mechdef_cephalus_CEP-E,Mech,1,1
mechdef_commando_COM-1C,Mech,1,1
mechdef_commando_COM-1D,Mech,1,1
mechdef_commando_COM-2D-BI,Mech,1,1
mechdef_commando_COM-3A,Mech,1,1
mechdef_commando_COM-J,Mech,1,1
mechdef_firebee_FRB-2E,Mech,1,1
mechdef_firestarter_FS9-A,Mech,1,1
mechdef_firestarter_FS9-K,Mech,1,1
mechdef_firestarter_FS9-M,Mech,1,1
mechdef_flea_FLE-14,Mech,1,1
mechdef_flea_FLE-16,Mech,1,1
mechdef_hollander_BZK-F3,Mech,1,1
mechdef_hollander_BZK-G1,Mech,1,1
mechdef_hornet_HNT-151,Mech,1,1
mechdef_hussar_HSR-200-D,Mech,1,1
mechdef_hussar_HSR-200-Db,Mech,1,1
mechdef_javelin_JVN-RF,Mech,1,1
mechdef_jenner_JR7-A,Mech,1,1
mechdef_jenner_JR7-F,Mech,1,1
mechdef_jenner_JR7-IIC-A,Mech,1,1
mechdef_jenner_JR7-IIC,Mech,1,1
mechdef_locust_LCT-1D,Mech,1,1
mechdef_locust_LCT-1L,Mech,1,1
mechdef_locust_LCT-3V,Mech,1,1
mechdef_locust_LCT-IIC,Mech,1,1
mechdef_malak_C-MK-O,Mech,1,1
mechdef_mongoose_MON-66,Mech,1,1
