itemCollection_fp_eae_lightmedparts,type,qty,weight
mechdef_assassin_ASN-101,MechPart,1,1
mechdef_assassin_ASN-21,MechPart,1,1
mechdef_blackjack_BJ-1,MechPart,1,1
mechdef_blackjack_BJ-1DB,MechPart,1,1
mechdef_centurion_CN9-A,MechPart,1,1
mechdef_centurion_CN9-AL,MechPart,1,1
mechdef_centurion_TARGETDUMMY,MechPart,1,1
mechdef_cicada_CDA-2A,MechPart,1,1
mechdef_cicada_CDA-3C,MechPart,1,1
mechdef_commando_COM-1B,MechPart,1,1
mechdef_commando_COM-2D,MechPart,1,1
mechdef_crab_CRB-27,MechPart,1,1
mechdef_crab_CRB-27b,MechPart,1,1
mechdef_crab__fp_gladiator_BSC-27,MechPart,1,1
mechdef_enforcer_ENF-4R,MechPart,1,1
mechdef_firestarter_FS9-H,MechPart,1,1
mechdef_flea_FLE-15,MechPart,1,1
mechdef_flea_FLE-4,MechPart,1,1
mechdef_griffin_GRF-1N,MechPart,1,1
mechdef_griffin_GRF-1S,MechPart,1,1
mechdef_griffin_GRF-4N,MechPart,1,1
mechdef_hatchetman_HCT-3F,MechPart,1,1
mechdef_hatchetman_HCT-3X,MechPart,1,1
mechdef_hunchback_HBK-4G,MechPart,1,1
mechdef_hunchback_HBK-4P,MechPart,1,1
mechdef_javelin_JVN-10A,MechPart,1,1
mechdef_javelin_JVN-10F,MechPart,1,1
mechdef_javelin_JVN-10N,MechPart,1,1
mechdef_jenner_JR7-D,MechPart,1,1
mechdef_kintaro_KTO-18,MechPart,1,1
mechdef_locust_LCT-1E,MechPart,1,1
mechdef_locust_LCT-1M,MechPart,1,1
mechdef_locust_LCT-1S,MechPart,1,1
mechdef_locust_LCT-1V,MechPart,1,1
mechdef_panther_PNT-9R,MechPart,1,1
mechdef_panther_TARGETDUMMY,MechPart,1,1
mechdef_phoenixhawk_PXH-1,MechPart,1,1
mechdef_phoenixhawk_PXH-1b,MechPart,1,1
mechdef_phoenixhawk_PXH-1K,MechPart,1,1
mechdef_raven_RVN-1X,MechPart,1,1
mechdef_raven_RVN-3X,MechPart,1,1
mechdef_shadowhawk_SHD-2D,MechPart,1,1
mechdef_shadowhawk_SHD-2H,MechPart,1,1
mechdef_spider_SDR-5K,MechPart,1,1
mechdef_spider_SDR-5V,MechPart,1,1
mechdef_trebuchet_TBT-5N,MechPart,1,1
mechdef_trebuchet_TBT-7K,MechPart,1,1
mechdef_urbanmech_TESTDUMMY,MechPart,1,1
mechdef_urbanmech_UM-R60,MechPart,1,1
mechdef_urbanmech_UM-R60L,MechPart,1,1
mechdef_urbanmech_UM-R90,MechPart,1,1
mechdef_vindicator_VND-1AA,MechPart,1,1
mechdef_vindicator_VND-1R,MechPart,1,1
mechdef_vulcan_VL-2T,MechPart,1,1
mechdef_vulcan_VL-5T,MechPart,1,1
mechdef_wolverine_WVR-6K,MechPart,1,1
mechdef_wolverine_WVR-6R,MechPart,1,1
mechdef_anubis_ABS-3L,MechPart,1,1
mechdef_anubis_ABS-3T,MechPart,1,1
mechdef_assassin_ASN-SB,MechPart,1,1
mechdef_blackjack_BJ-1DC,MechPart,1,1
mechdef_blackjack_BJ-1X,MechPart,1,1
mechdef_blackjack_BJ-3,MechPart,1,1
mechdef_blackjack_BJ-3X,MechPart,1,1
mechdef_blitzkrieg_BTZ-3F,MechPart,1,1
mechdef_bombard_BMB-010,MechPart,1,1
mechdef_bushwacker_BWS-L1,MechPart,1,1
mechdef_bushwacker_BWS-X1,MechPart,1,1
mechdef_bushwacker_BWS-X2,MechPart,1,1
mechdef_centurion_CN9-AH,MechPart,1,1
mechdef_cephalus_CEP-D,MechPart,1,1
mechdef_cephalus_CEP-E,MechPart,1,1
mechdef_cicada_CDA-2B,MechPart,1,1
mechdef_clint_CLNT-1-2R,MechPart,1,1
mechdef_clint_CLNT-2-3T,MechPart,1,1
mechdef_commando_COM-1C,MechPart,1,1
mechdef_commando_COM-1D,MechPart,1,1
mechdef_commando_COM-2D-BI,MechPart,1,1
mechdef_commando_COM-3A,MechPart,1,1
mechdef_commando_COM-J,MechPart,1,1
mechdef_crab_CRB-20,MechPart,1,1
mechdef_dervish_DV-6M,MechPart,1,1
mechdef_dervish_DV-7D,MechPart,1,1
mechdef_enforcer_ENF-3R,MechPart,1,1
mechdef_firebee_FRB-2E,MechPart,1,1
