itemCollection_fp_eae_medheavyparts,type,qty,weight
mechdef_archer_ARC-2R,MechPart,1,1
mechdef_archer_ARC-2S,MechPart,1,1
mechdef_archer_ARC-LS,MechPart,1,1
mechdef_archer_ARC-XO,MechPart,1,1
mechdef_assassin_ASN-101,MechPart,1,1
mechdef_assassin_ASN-21,MechPart,1,1
mechdef_blackjack_BJ-1,MechPart,1,1
mechdef_blackjack_BJ-1DB,MechPart,1,1
mechdef_blackknight_BL-6-KNT,MechPart,1,1
mechdef_blackknight_BL-6b-KNT,MechPart,1,1
mechdef_cataphract_CTF-0X,MechPart,1,1
mechdef_cataphract_CTF-1X,MechPart,1,1
mechdef_catapult_CPLT-C1,MechPart,1,1
mechdef_catapult_CPLT-C4,MechPart,1,1
mechdef_catapult_CPLT-K2,MechPart,1,1
mechdef_centurion_CN9-A,MechPart,1,1
mechdef_centurion_CN9-AL,MechPart,1,1
mechdef_centurion_TARGETDUMMY,MechPart,1,1
mechdef_cicada_CDA-2A,MechPart,1,1
mechdef_cicada_CDA-3C,MechPart,1,1
mechdef_crab_CRB-27,MechPart,1,1
mechdef_crab_CRB-27b,MechPart,1,1
mechdef_crab__fp_gladiator_BSC-27,MechPart,1,1
mechdef_dragon_DRG-1N,MechPart,1,1
mechdef_enforcer_ENF-4R,MechPart,1,1
mechdef_granddragon_DRG-1G,MechPart,1,1
mechdef_grasshopper_GHR-5H,MechPart,1,1
mechdef_griffin_GRF-1N,MechPart,1,1
mechdef_griffin_GRF-1S,MechPart,1,1
mechdef_griffin_GRF-4N,MechPart,1,1
mechdef_hatchetman_HCT-3F,MechPart,1,1
mechdef_hatchetman_HCT-3X,MechPart,1,1
mechdef_hunchback_HBK-4G,MechPart,1,1
mechdef_hunchback_HBK-4P,MechPart,1,1
mechdef_jagermech_JM6-A,MechPart,1,1
mechdef_jagermech_JM6-S,MechPart,1,1
mechdef_kintaro_KTO-18,MechPart,1,1
mechdef_marauder_MAD-2R,MechPart,1,1
mechdef_marauder_MAD-3D,MechPart,1,1
mechdef_marauder_MAD-3R,MechPart,1,1
mechdef_marauder_MAD-BH,MechPart,1,1
mechdef_marauder_MAD-CM,MechPart,1,1
mechdef_orion_ON1-K,MechPart,1,1
mechdef_orion_ON1-V,MechPart,1,1
mechdef_phoenixhawk_PXH-1,MechPart,1,1
mechdef_phoenixhawk_PXH-1b,MechPart,1,1
mechdef_phoenixhawk_PXH-1K,MechPart,1,1
mechdef_quickdraw_QKD-4G,MechPart,1,1
mechdef_quickdraw_QKD-5A,MechPart,1,1
mechdef_rifleman_RFL-3C,MechPart,1,1
mechdef_rifleman_RFL-3N,MechPart,1,1
mechdef_rifleman_RFL-4D,MechPart,1,1
mechdef_rifleman_RFL-RIP,MechPart,1,1
mechdef_shadowhawk_SHD-2D,MechPart,1,1
mechdef_shadowhawk_SHD-2H,MechPart,1,1
mechdef_thunderbolt_TDR-5S,MechPart,1,1
mechdef_thunderbolt_TDR-5SE,MechPart,1,1
mechdef_thunderbolt_TDR-5SS,MechPart,1,1
mechdef_trebuchet_TBT-5N,MechPart,1,1
mechdef_trebuchet_TBT-7K,MechPart,1,1
mechdef_vindicator_VND-1AA,MechPart,1,1
mechdef_vindicator_VND-1R,MechPart,1,1
mechdef_vulcan_VL-2T,MechPart,1,1
mechdef_vulcan_VL-5T,MechPart,1,1
mechdef_warhammer_WHM-6D,MechPart,1,1
mechdef_warhammer_WHM-6R,MechPart,1,1
mechdef_warhammer_WHM-7A,MechPart,1,1
mechdef_warhammer_WHM-BW,MechPart,1,1
mechdef_wolverine_WVR-6K,MechPart,1,1
mechdef_wolverine_WVR-6R,MechPart,1,1
mechdef_archer_ARC-2K,MechPart,1,1
mechdef_archer_ARC-2W,MechPart,1,1
mechdef_argus_AGS-2D,MechPart,1,1
mechdef_argus_AGS-5D,MechPart,1,1
mechdef_assassin_ASN-SB,MechPart,1,1
mechdef_avatar_AV1-0,MechPart,1,1
mechdef_avatar_AV1-OA,MechPart,1,1
mechdef_avatar_AV1-OB,MechPart,1,1
mechdef_avatar_AV1-OH,MechPart,1,1
mechdef_axman_AXM-1N,MechPart,1,1
mechdef_axman_AXM-2N,MechPart,1,1
mechdef_blackjack_BJ-1DC,MechPart,1,1
mechdef_blackjack_BJ-1X,MechPart,1,1
mechdef_blackjack_BJ-3,MechPart,1,1
mechdef_blackjack_BJ-3X,MechPart,1,1
mechdef_blackknight_BL-7-KNT-L,MechPart,1,1
mechdef_blackknight_BL-7-KNT,MechPart,1,1
mechdef_blitzkrieg_BTZ-3F,MechPart,1,1
mechdef_bombard_BMB-010,MechPart,1,1
mechdef_bushwacker_BWS-L1,MechPart,1,1
mechdef_bushwacker_BWS-X1,MechPart,1,1
mechdef_bushwacker_BWS-X2,MechPart,1,1
mechdef_cataphract_CTF-2X,MechPart,1,1
mechdef_cataphract_CTF-3L,MechPart,1,1
mechdef_cataphract_CTF-4X,MechPart,1,1
mechdef_catapult_CPLT-A1,MechPart,1,1
mechdef_catapult_CPLT-COL,MechPart,1,1
mechdef_catapult_CPLT-COL2,MechPart,1,1
mechdef_centurion_CN9-AH,MechPart,1,1
mechdef_champion_CHP-1N2,MechPart,1,1
mechdef_champion_CHP-1Nb,MechPart,1,1
mechdef_champion_CHP-2N,MechPart,1,1
mechdef_charger_CGR-PB,MechPart,1,1
mechdef_cicada_CDA-2B,MechPart,1,1
mechdef_clint_CLNT-1-2R,MechPart,1,1
mechdef_clint_CLNT-2-3T,MechPart,1,1
mechdef_crab_CRB-20,MechPart,1,1
mechdef_crusader_CRD-2R,MechPart,1,1
mechdef_crusader_CRD-3R,MechPart,1,1
mechdef_crusader_CRD-7M,MechPart,1,1
mechdef_dervish_DV-6M,MechPart,1,1
mechdef_dervish_DV-7D,MechPart,1,1
mechdef_deva_C-DVA-OA,MechPart,1,1
mechdef_deva_C-DVA-OB,MechPart,1,1
mechdef_deva_C-DVA-OS,MechPart,1,1
mechdef_dragon_DRG-1C,MechPart,1,1
mechdef_enforcer_ENF-3R,MechPart,1,1
mechdef_grasshopper_GHR-4R,MechPart,1,1
mechdef_grasshopper_GHR-5N,MechPart,1,1
mechdef_griffin_GRF-3M,MechPart,1,1
mechdef_grigori_C-GRG-O,MechPart,1,1
mechdef_grigori_C-GRG-OS,MechPart,1,1
mechdef_hatchetman_HCT-3G,MechPart,1,1
mechdef_hatchetman_HCT-3K,MechPart,1,1
mechdef_hatchetman_HCT-3NH,MechPart,1,1
mechdef_helepolis_HEP-2H,MechPart,1,1
mechdef_hellspawn_HSN-7D,MechPart,1,1
mechdef_hellspawn_HSN-8E,MechPart,1,1
mechdef_hunchback_HBK-4H,MechPart,1,1
mechdef_hunchback_HBK-4J,MechPart,1,1
mechdef_hunchback_HBK-4N,MechPart,1,1
mechdef_hunchback_HBK-4SP,MechPart,1,1
mechdef_huronw_HUR-WO-R4L,MechPart,1,1
mechdef_huronw_HUR-WO-R4N,MechPart,1,1
mechdef_huronw_HUR-WO-R4X,MechPart,1,1
mechdef_icarusii_ICR-1S,MechPart,1,1
mechdef_jagermech_JM6-B,MechPart,1,1
mechdef_kintaro_KTO-20,MechPart,1,1
mechdef_lament_LMT-2R,MechPart,1,1
mechdef_lament_LMT-4RC,MechPart,1,1
mechdef_laohu_LHU-2B,MechPart,1,1
mechdef_laohu_LHU-3C,MechPart,1,1
mechdef_marauder_MAD-3L,MechPart,1,1
mechdef_marauder_MAD-3M-DC,MechPart,1,1
mechdef_marauder_MAD-3M,MechPart,1,1
mechdef_marauder_MAD-4X,MechPart,1,1
mechdef_merlin_MLN-1A,MechPart,1,1
mechdef_orion_ON1-V-DC,MechPart,1,1
mechdef_orion_ON1-VA,MechPart,1,1
mechdef_osprey_OSP-15,MechPart,1,1
mechdef_ostroc_OSR-2C,MechPart,1,1
mechdef_ostroc_OSR-2M,MechPart,1,1
mechdef_ostroc_OSR-3C,MechPart,1,1
mechdef_ostsol_OTL-4D,MechPart,1,1
mechdef_ostsol_OTL-4F,MechPart,1,1
mechdef_ostsol_OTL-5M,MechPart,1,1
mechdef_ostsol_OTL-8E,MechPart,1,1
mechdef_ostwar_OWR-2MB,MechPart,1,1
mechdef_phoenixhawk_PXH-1D,MechPart,1,1
mechdef_phoenixhawk_PXH-9,MechPart,1,1
mechdef_preta_C-PRT-OA_dominus,MechPart,1,1
mechdef_preta_C-PRT-O_invictus,MechPart,1,1
mechdef_quickdraw_QKD-4H,MechPart,1,1
mechdef_redreaper_BL-X-KNT,MechPart,1,1
mechdef_rifleman_RFL-3M,MechPart,1,1
mechdef_roughneck_RGH-1A,MechPart,1,1
mechdef_roughneck_RGH-3A,MechPart,1,1
mechdef_shadowhawk_SHD-2K,MechPart,1,1
mechdef_shadowhawk_SHD-3H,MechPart,1,1
mechdef_shadowhawk_SHD-3K,MechPart,1,1
mechdef_shadowhawk_SHD-5M,MechPart,1,1
mechdef_stalker_STK-4P,MechPart,1,1
mechdef_strider_SR1-0,MechPart,1,1
mechdef_talos_TLS-1B,MechPart,1,1
mechdef_thanatos_TNS-4S,MechPart,1,1
mechdef_thanatos_TNS-4T,MechPart,1,1
mechdef_thunderbolt_TDR-5D,MechPart,1,1
mechdef_trebuchet_TBT-5J,MechPart,1,1
mechdef_trebuchet_TBT-5S,MechPart,1,1
mechdef_uziel_UZL-2S,MechPart,1,1
mechdef_uziel_UZL-3S,MechPart,1,1
mechdef_valkyrieii_VLK-II-1A,MechPart,1,1
mechdef_valkyrieii_VLK-II-2A,MechPart,1,1
mechdef_vindicator_VND-1SIC,MechPart,1,1
mechdef_vindicator_VND-1X,MechPart,1,1
mechdef_vulcan_VT-BL,MechPart,1,1
mechdef_warhammer_WHM-6K,MechPart,1,1
mechdef_warhammer_WHM-6L-DC,MechPart,1,1
mechdef_warhammer_WHM-6L,MechPart,1,1
mechdef_warhammer_WHM-6R-DC,MechPart,1,1
mechdef_wolverine_WVR-5M,MechPart,1,1
mechdef_wolverine_WVR-6D,MechPart,1,1
mechdef_wolverine_WVR-6M,MechPart,1,1
mechdef_wolverine_WVR-6T,MechPart,1,1
mechdef_wolverine_WVR-7K,MechPart,1,1
mechdef_yeoman_YMN-10-OR,MechPart,1,1
